"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"SUFR","2_BLT","-1.7","-3.6860"," 0.2651","2.1e+34","8.589e-06","6.207e+14","0.0023","0.013","0.57","2.7e-35","0.0013","3.5e-37"
"SURG","1_nSPC","0.77","-0.2363"," 1.7714","112","  6.142","538.295","0.012","0.012","0.017","0.0167","2e-04","2.0e-04"
"SURG","2_BLT","0.77","-0.2363"," 1.7714","112","  6.142","538.295","0.041","0.019","0.480","0.0043","2e-02","8.3e-05"
"TAME","1_nSPC","-0.27","-2.5969"," 1.9960","9.2"," 0.00491","49.61579","0.012","0.012","14","14.2","0.17","0.17"
"TAME","2_BLT","-0.27","-2.5969"," 1.9960","9.2"," 0.00491","49.61579","0.057","0.074","13"," 1.5","0.77","0.11"
"THAM","1_nSPC","0.024","-0.3148"," 0.3870","2.1","1.334","3.119","0.25","0.25","0.039","0.039","0.0098","0.0098"
"THAM","2_BLT","0.024","-0.3148"," 0.3870","2.1","1.334","3.119","0.50","0.49","0.764","0.360","0.3822","0.1776"
"THHA","1_nSPC","0.4","-0.8684"," 1.6891","4.7"," 0.1772","21.9421","0.0442","0.0442","0.074","0.074","0.00326","0.00326"
"THHA","2_BLT","0.4","-0.8684"," 1.6891","4.7"," 0.1772","21.9421","0.0092","0.0061","0.092","0.020","0.00085","0.00012"
"THLU","1_nSPC","1.2","0.6711","1.6164","4.5","3.717","5.381","0.67","0.67","0.064","0.064","0.043","0.043"
"THLU","2_BLT","1.2","0.6711","1.6164","4.5","3.717","5.381","0.81","0.57","0.352","0.078","0.286","0.045"
"THPU","1_nSPC","-0.37","-1.6067"," 0.9247","1.5","0.1259","6.2893","0.057","0.057","0.30","0.30","0.0168","0.0168"
"THPU","2_BLT","-0.37","-1.6067"," 0.9247","1.5","0.1259","6.2893","0.026","0.036","0.31","0.21","0.0078","0.0075"
"THQU","1_nSPC","-0.19","-0.5327"," 0.1436","2.4","1.907","2.896","0.67","0.67","0.25","0.25","0.16","0.16"
"THQU","2_BLT","-0.19","-0.5327"," 0.1436","2.4","1.907","2.896","0.79","0.82","0.53","0.22","0.42","0.18"
