"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSO","1_nSPC","Global",3.34,13.48,0.08,0.08,0.24,0.24,0.02,0.02
"ABSP","1_nSPC","Global",3.34,13.48,0.01,0.01,0.22,0.22,0,0
"ABSX","1_nSPC","Global",3.34,13.48,0.01,0.01,0.55,0.55,0.01,0.01
"ABVA","1_nSPC","Global",3.34,13.48,0.18,0.18,0.14,0.14,0.02,0.02
"ACAC","1_nSPC","Global",3.34,13.48,0.01,0.01,0.22,0.22,0,0
"ACBL","1_nSPC","Global",3.34,13.48,0.14,0.14,1.29,1.29,0.19,0.19
"ACDU","1_nSPC","Global",3.34,13.48,0.05,0.05,1.74,1.74,0.09,0.09
"ACDU","2_TOW","Global",3.34,13.48,0,0,0.99,0.07,0,0
"ACGU","1_nSPC","Global",3.34,13.48,0.15,0.15,0.07,0.07,0.01,0.01
"ACLE","1_nSPC","Global",3.34,13.48,0.28,0.28,0.1,0.1,0.03,0.03
"ACLI","1_nSPC","Global",3.34,13.48,0.33,0.33,2.19,2.19,0.71,0.71
"ACMA","1_nSPC","Global",3.34,13.48,0,0,0.13,0.13,0,0
"ACMT","1_nSPC","Global",3.34,13.48,0.01,0.01,0.6,0.6,0.01,0.01
"ACNC","1_nSPC","Global",3.34,13.48,0.64,0.64,0.85,0.85,0.55,0.55
"ACNF","1_nSPC","Global",3.34,13.48,0.94,0.94,0.52,0.52,0.49,0.49
"ACNI","1_nSPC","Global",3.34,13.48,0.1,0.1,0.57,0.57,0.06,0.06
"ACNR","1_nSPC","Global",3.34,13.48,0.11,0.11,0.19,0.19,0.02,0.02
"ACNU","1_nSPC","Global",3.34,13.48,0.01,0.01,0.75,0.75,0.01,0.01
"ACOL","1_nSPC","Global",3.34,13.48,0.48,0.48,1.38,1.38,0.66,0.66
"ACPY","1_nSPC","Global",3.34,13.48,0.39,0.39,0.31,0.31,0.12,0.12
"ACSO","1_nSPC","Global",3.34,13.48,0,0,31.82,31.82,0.05,0.05
"ACSO","2_TOW","Global",3.34,13.48,0,0,10.52,0.78,0,0
"ACSP","1_nSPC","Global",3.34,13.48,0.01,0.01,0.04,0.04,0,0
"ACTH","1_nSPC","Global",3.34,13.48,0.23,0.23,0.32,0.32,0.08,0.08
"ACTR","1_nSPC","Global",3.34,13.48,0.06,0.06,0.85,0.85,0.05,0.05
"ACXA","1_nSPC","Global",3.34,13.48,0.08,0.08,1.21,1.21,0.09,0.09
"ACXA","2_TOW","Global",3.34,13.48,0,0,1.44,0.11,0,0
"AEOC","1_nSPC","Global",3.34,13.48,0,0,23.53,23.53,0.11,0.11
"AEOC","2_TOW","Global",3.34,13.48,0,0.12,12.63,0.94,0.06,0.11
"AERO","1_nSPC","Global",3.34,13.48,0.01,0.01,0.52,0.52,0,0
"ALCI","2_TOW","Global",3.34,13.48,0,0,12.54,0.93,0,0
"ALSC","1_nSPC","Global",3.34,13.48,0.04,0.04,0.39,0.39,0.01,0.01
"ALSC","2_TOW","Global",3.34,13.48,0.01,0.13,0.26,0.02,0,0
"AMBI","1_nSPC","Global",3.34,13.48,0,0,0.04,0.04,0,0
"AMCH","1_nSPC","Global",3.34,13.48,0.06,0.06,0.05,0.05,0,0
"AMCL","1_nSPC","Global",3.34,13.48,0.02,0.02,0.06,0.06,0,0
"AMCU","1_nSPC","Global",3.34,13.48,0,0,0.05,0.05,0,0
