"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CHVE","1_nSPC","Global",1.93,3.44,0.13,0.13,0.72,0.72,0.09,0.09
"CHVI","1_nSPC","Global",1.93,3.44,0,0,0.87,0.87,0,0
"CIFA","1_nSPC","Global",1.93,3.44,0.24,0.24,0.02,0.02,0,0
"CIJO","1_nSPC","Global",1.93,3.44,0,0,0.04,0.04,0,0
"CILB","1_nSPC","Global",1.93,3.44,0,0,0,0,0,0
"CIOB","1_nSPC","Global",1.93,3.44,0,0,0.04,0.04,0,0
"CIPI","1_nSPC","Global",1.93,3.44,0.11,0.11,0.14,0.14,0.02,0.02
"CIPI","2_BLT","Global",1.93,3.44,0,0.03,0.37,0.11,0,0
"CISP","1_nSPC","Global",1.93,3.44,0,0,0.02,0.02,0,0
"CIVA","1_nSPC","Global",1.93,3.44,0.11,0.11,0.01,0.01,0,0
"COBA","1_nSPC","Global",1.93,3.44,0.01,0.01,0.19,0.19,0,0
"COCI","2_BLT","Global",1.93,3.44,0,0,0.86,0.25,0,0
"COFL","1_nSPC","Global",1.93,3.44,0.03,0.03,1.72,1.72,0.05,0.05
"COFL","2_BLT","Global",1.93,3.44,0.01,0.09,2.13,0.62,0.03,0.05
"COGA","1_nSPC","Global",1.93,3.44,0.41,0.41,0.13,0.13,0.05,0.05
"COGA","2_BLT","Global",1.93,3.44,0.03,0.16,0.27,0.08,0.01,0.01
"CONG","1_nSPC","Global",1.93,3.44,0,0,1.08,1.08,0,0
"CONG","2_BLT","Global",1.93,3.44,0,0,0.03,0.01,0,0
"COVE","1_nSPC","Global",1.93,3.44,0.34,0.34,0.05,0.05,0.02,0.02
"CTHA","1_nSPC","Global",1.93,3.44,0.12,0.12,0.24,0.24,0.03,0.03
"CTHA","2_BLT","Global",1.93,3.44,0.02,0.15,0.72,0.21,0.02,0.03
"CTST","1_nSPC","Global",1.93,3.44,0.56,0.56,0.67,0.67,0.37,0.37
"CTST","2_BLT","Global",1.93,3.44,0,0.02,0.23,0.07,0,0
"CYLE","1_nSPC","Global",1.93,3.44,0,0,0.03,0.03,0,0
"DAAL","1_nSPC","Global",1.93,3.44,0.22,0.22,0.25,0.25,0.05,0.05
"DASY","1_nSPC","Global",1.93,3.44,0,0,482.15,482.15,0.31,0.31
"DEBA","1_nSPC","Global",1.93,3.44,0,0,0.02,0.02,0,0
"DEMA","1_nSPC","Global",1.93,3.44,0.1,0.1,6.45,6.45,0.66,0.66
"DEMA","2_BLT","Global",1.93,3.44,0.01,0.08,1.34,0.39,0.02,0.03
"DIHO","1_nSPC","Global",1.93,3.44,0,0,1.33,1.33,0,0
"DIHO","2_BLT","Global",1.93,3.44,0,0.02,0.52,0.15,0,0
"DIHY","1_nSPC","Global",1.93,3.44,0.01,0.01,1.35,1.35,0.02,0.02
"DIHY","2_BLT","Global",1.93,3.44,0.01,0.07,1.56,0.46,0.02,0.03
"DOEX","1_nSPC","Global",1.93,3.44,0,0,0,0,0,0
"ECNE","1_nSPC","Global",1.93,3.44,0,0,0.02,0.02,0,0
"ELBI","1_nSPC","Global",1.93,3.44,0.01,0.01,1.74,1.74,0.01,0.01
"ENCA","1_nSPC","Global",1.93,3.44,0,0,1.38,1.38,0.01,0.01
"ENCA","2_BLT","Global",1.93,3.44,0,0.01,0.22,0.06,0,0
"EUAF","1_nSPC","Global",1.93,3.44,0,0,10.66,10.66,0.03,0.03
"EXBR","1_nSPC","Global",1.93,3.44,0.05,0.05,0.01,0.01,0,0
"FICO","1_nSPC","Global",1.93,3.44,0.06,0.06,0.52,0.52,0.03,0.03
"FICO","2_BLT","Global",1.93,3.44,0.02,0.11,0.38,0.11,0.01,0.01
"FILE","1_nSPC","Global",1.93,3.44,0,0,0.01,0.01,0,0
"FISH","1_nSPC","Global",1.93,3.44,0,0,0.22,0.22,0,0
"FOFL","1_nSPC","Global",1.93,3.44,0.34,0.34,0.07,0.07,0.02,0.02
"FOLO","1_nSPC","Global",1.93,3.44,0.08,0.08,0.09,0.09,0.01,0.01
"GOAT","1_nSPC","Global",1.93,3.44,0,0,0,0,0,0
"GOBI","1_nSPC","Global",1.93,3.44,0,0,0.02,0.02,0,0
"GOVA","1_nSPC","Global",1.93,3.44,0.41,0.41,0.07,0.07,0.03,0.03
"GOVA","2_BLT","Global",1.93,3.44,0.01,0.05,0.15,0.04,0,0
"GUCU","1_nSPC","Global",1.93,3.44,0.04,0.04,0.01,0.01,0,0
"GYEU","1_nSPC","Global",1.93,3.44,0.01,0.01,0.12,0.12,0,0
"GYEU","2_BLT","Global",1.93,3.44,0.01,0.06,0.05,0.02,0,0
"GYFL","1_nSPC","Global",1.93,3.44,0.06,0.06,2.22,2.22,0.12,0.12
"GYFL","2_BLT","Global",1.93,3.44,0.02,0.1,0.82,0.24,0.01,0.02
"GYJA","1_nSPC","Global",1.93,3.44,0.01,0.01,3.94,3.94,0.02,0.02
"GYJA","2_BLT","Global",1.93,3.44,0,0,0.59,0.17,0,0
"GYME","1_nSPC","Global",1.93,3.44,0.09,0.09,0.47,0.47,0.04,0.04
"GYME","2_BLT","Global",1.93,3.44,0.04,0.23,0.21,0.06,0.01,0.01
"GYMT","1_nSPC","Global",1.93,3.44,0.01,0.01,0.01,0.01,0,0
"GYMT","2_BLT","Global",1.93,3.44,0,0.01,0.03,0.01,0,0
"GYRU","1_nSPC","Global",1.93,3.44,0,0,1.37,1.37,0,0
"GYSP","1_nSPC","Global",1.93,3.44,0.01,0.01,0.35,0.35,0,0
"GYSP","2_BLT","Global",1.93,3.44,0,0.03,0.9,0.26,0,0.01
"GYST","1_nSPC","Global",1.93,3.44,0,0,0.05,0.05,0,0
"GYUN","1_nSPC","Global",1.93,3.44,0.01,0.01,1.73,1.73,0.02,0.02
"GYUN","2_BLT","Global",1.93,3.44,0,0.02,0.33,0.1,0,0
"GYZE","1_nSPC","Global",1.93,3.44,0,0,0.27,0.27,0,0
"GYZE","2_BLT","Global",1.93,3.44,0.01,0.04,0.26,0.08,0,0
"HAOR","1_nSPC","Global",1.93,3.44,0.54,0.54,0.04,0.04,0.02,0.02
"HECA","1_nSPC","Global",1.93,3.44,0,0,0.38,0.38,0,0
"HEDI","1_nSPC","Global",1.93,3.44,0.07,0.07,1.69,1.69,0.12,0.12
"HEPO","1_nSPC","Global",1.93,3.44,0.01,0.01,0.48,0.48,0.01,0.01
"HETH","1_nSPC","Global",1.93,3.44,0.01,0.01,0.84,0.84,0.01,0.01
"INAN","1_nSPC","Global",1.93,3.44,0,0,0.29,0.29,0,0
"INPA","1_nSPC","Global",1.93,3.44,0.01,0.01,0.02,0.02,0,0
"INUM","1_nSPC","Global",1.93,3.44,0,0,0.04,0.04,0,0
"JACK","1_nSPC","Global",1.93,3.44,0,0,0.33,0.33,0,0
"KUSA","1_nSPC","Global",1.93,3.44,0,0,0.17,0.17,0,0
"KUSA","2_BLT","Global",1.93,3.44,0,0.01,1.15,0.34,0,0
"KYCI","1_nSPC","Global",1.93,3.44,0.01,0.01,0.87,0.87,0.01,0.01
"KYCI","2_BLT","Global",1.93,3.44,0,0.03,1.35,0.39,0.01,0.01
"KYHA","2_BLT","Global",1.93,3.44,0,0.03,0.88,0.26,0,0.01
"KYSA","1_nSPC","Global",1.93,3.44,0,0,0.79,0.79,0,0
"KYSA","2_BLT","Global",1.93,3.44,0.06,0.3,1.14,0.33,0.07,0.1
"KYVA","1_nSPC","Global",1.93,3.44,0,0,0.69,0.69,0,0
"KYVA","2_BLT","Global",1.93,3.44,0,0.01,1.79,0.52,0,0.01
"LAFO","1_nSPC","Global",1.93,3.44,0,0,0.02,0.02,0,0
"LAPH","1_nSPC","Global",1.93,3.44,0.34,0.34,0.01,0.01,0,0
"LIZA","1_nSPC","Global",1.93,3.44,0.04,0.04,0.04,0.04,0,0
"LUFU","1_nSPC","Global",1.93,3.44,0.3,0.3,0.9,0.9,0.27,0.27
"LUFU","2_BLT","Global",1.93,3.44,0.06,0.32,0.92,0.27,0.06,0.09
"LUKA","1_nSPC","Global",1.93,3.44,0.28,0.28,3.05,3.05,0.84,0.84
"LUKA","2_BLT","Global",1.93,3.44,0.13,0.51,3.13,0.91,0.41,0.46
"MABI","1_nSPC","Global",1.93,3.44,0,0,407.79,407.79,0.11,0.11
"MABR","1_nSPC","Global",1.93,3.44,0.07,0.07,0.13,0.13,0.01,0.01
"MABR","2_BLT","Global",1.93,3.44,0.02,0.11,0.18,0.05,0,0.01
"MAGE","1_nSPC","Global",1.93,3.44,0.29,0.29,0.02,0.02,0,0
"MENI","1_nSPC","Global",1.93,3.44,0.29,0.29,2.06,2.06,0.61,0.61
"MENI","2_BLT","Global",1.93,3.44,0.08,0.38,2.44,0.71,0.2,0.27
"MEVI","1_nSPC","Global",1.93,3.44,0.49,0.49,0.97,0.97,0.48,0.48
"MEVI","2_BLT","Global",1.93,3.44,0.13,0.5,1.25,0.36,0.16,0.18
"MOGR","1_nSPC","Global",1.93,3.44,0.28,0.28,1.78,1.78,0.5,0.5
"MOGR","2_BLT","Global",1.93,3.44,0.06,0.32,1.64,0.48,0.1,0.15
"MOSP","1_nSPC","Global",1.93,3.44,0.01,0.01,333.47,333.47,1.74,1.74
"MUFL","1_nSPC","Global",1.93,3.44,0.12,0.12,1.78,1.78,0.21,0.21
"MUFL","2_BLT","Global",1.93,3.44,0.02,0.11,1.82,0.53,0.03,0.06
"MUMI","1_nSPC","Global",1.93,3.44,0,0,0.09,0.09,0,0
"MUPF","1_nSPC","Global",1.93,3.44,0.01,0.01,1.81,1.81,0.02,0.02
"MUVA","1_nSPC","Global",1.93,3.44,0.07,0.07,2.06,2.06,0.15,0.15
"MUVA","2_BLT","Global",1.93,3.44,0.01,0.07,2.83,0.82,0.03,0.06
"MYAM","1_nSPC","Global",1.93,3.44,0.01,0.01,0.73,0.73,0.01,0.01
"MYAM","2_BLT","Global",1.93,3.44,0,0.03,0.52,0.15,0,0
"MYBE","1_nSPC","Global",1.93,3.44,0.15,0.15,1.38,1.38,0.21,0.21
