"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"MANI","1_nSPC","-1.8","-2.371","-1.286","3","1.286","5.734","0.148","0.15"," 2.4","2.4","0.35","0.35"
"MANI","2_BLT","-1.8","-2.371","-1.286","3","1.286","5.734","0.071","0.32","18.0","6.0","1.28","1.94"
"MEAT","1_nSPC","0.96","0.3953","1.5160","3","1.497","5.216","0.015","0.015","0.015","0.015","0.00021","0.00021"
"MEAT","2_BLT","0.96","0.3953","1.5160","3","1.497","5.216","0.043","0.017","0.047","0.016","0.00200","0.00027"
"MENI","1_nSPC","-1.2","-1.6758","-0.7972","2.1","1.507","2.885","0.30","0.30","1.7","1.7","0.51","0.51"
"MENI","2_BLT","-1.2","-1.6758","-0.7972","2.1","1.507","2.885","0.27","0.56","7.0","3.3","1.90","1.84"
"MEVI","1_nSPC","-1.6","-2.026","-1.214","2.2","1.936","2.573","0.76","0.76","1.0","1.0","0.76","0.76"
"MEVI","2_BLT","-1.6","-2.026","-1.214","2.2","1.936","2.573","0.62","0.89","2.4","1.1","1.51","0.97"
"MOGR","1_nSPC","-0.73","-1.0328","-0.3997","1.9","1.316","2.741","0.37","0.37","1.2","1.2","0.43","0.43"
"MOGR","2_BLT","-0.73","-1.0328","-0.3997","1.9","1.316","2.741","0.17","0.30","3.4","1.8","0.58","0.52"
"MUFL","1_nSPC","-0.95","-2.2443"," 0.2954","5.8"," 0.508","22.705","0.0226","0.023","0.87","0.87","0.020","0.020"
"MUFL","2_BLT","-0.95","-2.2443"," 0.2954","5.8"," 0.508","22.705","0.0073","0.019","5.15","0.89","0.038","0.017"
"MUVA","1_nSPC","-1.4","-2.104","-0.730","1.5","0.2909","4.7564","0.067","0.067","1.1","1.1","0.076","0.076"
"MUVA","2_BLT","-1.4","-2.104","-0.730","1.5","0.2909","4.7564","0.044","0.163","8.1","5.6","0.360","0.905"
"MYAD","1_nSPC","0.21","-1.1721"," 1.5617","1.3","0.2356","4.7762","0.0040","0.0040","1.1","1.08","0.0043","0.00431"
