"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"AMSC","2_BLT","Global",0,1.48,0.02,0.02,0.62,0.42,0.01,0.01
"AMSP","1_nSPC","Global",0,1.48,0,0,0.02,0.02,0,0
"AMSP","2_BLT","Global",0,1.48,0.01,0.01,0.03,0.02,0,0
"ANCA","1_nSPC","Global",0,1.48,0.32,0.32,0.1,0.1,0.03,0.03
"ANCA","2_BLT","Global",0,1.48,0.05,0.05,0.46,0.31,0.02,0.02
"ANGE","2_BLT","Global",0,1.48,0,0,0.47,0.32,0,0
"ANME","1_nSPC","Global",0,1.48,0,0,0.01,0.01,0,0
"ANMG","1_nSPC","Global",0,1.48,0.04,0.04,0.04,0.04,0,0
"ANMG","2_BLT","Global",0,1.48,0.02,0.02,0.06,0.04,0,0
"ANSP","1_nSPC","Global",0,1.48,0.01,0.01,0.01,0.01,0,0
"ANSP","2_BLT","Global",0,1.48,0,0,0.16,0.1,0,0
"ANTH","1_nSPC","Global",0,1.48,0.01,0.01,0.06,0.06,0,0
"ANTH","2_BLT","Global",0,1.48,0.01,0.01,0.67,0.45,0,0
"ANTW","1_nSPC","Global",0,1.48,0.09,0.09,0.05,0.05,0,0
"ANTW","2_BLT","Global",0,1.48,0.05,0.05,0.15,0.1,0.01,0
"APFU","1_nSPC","Global",0,1.48,0.49,0.49,0.62,0.62,0.3,0.3
"APFU","2_BLT","Global",0,1.48,0.31,0.31,0.94,0.63,0.29,0.2
"APSP","1_nSPC","Global",0,1.48,0.01,0.01,0.06,0.06,0,0
"APSP","2_BLT","Global",0,1.48,0.06,0.06,0.03,0.02,0,0
"APTR","1_nSPC","Global",0,1.48,0.27,0.27,0.28,0.28,0.08,0.08
"APTR","2_BLT","Global",0,1.48,0.08,0.08,0.77,0.52,0.06,0.04
"APVI","1_nSPC","Global",0,1.48,0.06,0.06,6.09,6.09,0.39,0.39
"APVI","2_BLT","Global",0,1.48,0.03,0.03,8.18,5.54,0.21,0.14
"ARBI","1_nSPC","Global",0,1.48,0,0,1.7,1.7,0,0
"ARHI","1_nSPC","Global",0,1.48,0,0,0.62,0.62,0,0
"ARHI","2_BLT","Global",0,1.48,0.02,0.02,0.6,0.41,0.01,0.01
"ARME","1_nSPC","Global",0,1.48,0.02,0.02,5.1,5.1,0.13,0.13
"ARME","2_BLT","Global",0,1.48,0.02,0.02,3.73,2.52,0.08,0.06
"ARNI","1_nSPC","Global",0,1.48,0.02,0.02,0.59,0.59,0.01,0.01
"ARNI","2_BLT","Global",0,1.48,0.02,0.02,0.73,0.49,0.02,0.01
"ARST","1_nSPC","Global",0,1.48,0,0,94.63,94.63,0.04,0.04
"ASTA","1_nSPC","Global",0,1.48,0,0,0.07,0.07,0,0
"ASTA","2_BLT","Global",0,1.48,0.01,0.01,0.05,0.03,0,0
"AUCH","1_nSPC","Global",0,1.48,0.02,0.02,0.2,0.2,0,0
"AUCH","2_BLT","Global",0,1.48,0.02,0.02,0.06,0.04,0,0
"BACO","1_nSPC","Global",0,1.48,0.03,0.03,1.51,1.51,0.05,0.05
"BACO","2_BLT","Global",0,1.48,0.01,0.01,2.29,1.55,0.03,0.02
"BASP","2_BLT","Global",0,1.48,0.01,0.01,0.47,0.32,0.01,0
"BAUN","1_nSPC","Global",0,1.48,0.71,0.71,0.34,0.34,0.24,0.24
"BAUN","2_BLT","Global",0,1.48,0.32,0.32,0.48,0.33,0.15,0.1
"BAVI","1_nSPC","Global",0,1.48,0.04,0.04,3.7,3.7,0.15,0.15
"BAVI","2_BLT","Global",0,1.48,0.01,0.01,5.61,3.79,0.07,0.05
"BECH","1_nSPC","Global",0,1.48,0,0,0.07,0.07,0,0
"BIGE","1_nSPC","Global",0,1.48,0,0,0.73,0.73,0,0
"BIGE","2_BLT","Global",0,1.48,0.01,0.01,0.41,0.28,0,0
"BLCH","1_nSPC","Global",0,1.48,0.01,0.01,0.03,0.03,0,0
"BLCH","2_BLT","Global",0,1.48,0.01,0.01,0.01,0,0,0
"BLEN","1_nSPC","Global",0,1.48,0.22,0.22,0.03,0.03,0.01,0.01
"BLEN","2_BLT","Global",0,1.48,0.02,0.02,0.06,0.04,0,0
"BOAN","1_nSPC","Global",0,1.48,0.05,0.05,0.12,0.12,0.01,0.01
"BOAN","2_BLT","Global",0,1.48,0,0,0.49,0.33,0,0
"BOAX","1_nSPC","Global",0,1.48,0.15,0.15,0.11,0.11,0.02,0.02
"BOAX","2_BLT","Global",0,1.48,0.12,0.12,0.26,0.17,0.03,0.02
"BOBI","1_nSPC","Global",0,1.48,0.02,0.02,0.65,0.65,0.01,0.01
"BOLO","1_nSPC","Global",0,1.48,0,0,0.62,0.62,0,0
"BOMA","1_nSPC","Global",0,1.48,0.02,0.02,0.6,0.6,0.01,0.01
"BOTH","2_BLT","Global",0,1.48,0,0,0.24,0.16,0,0
"BUTT","1_nSPC","Global",0,1.48,0,0,0.04,0.04,0,0
"BUTT","2_BLT","Global",0,1.48,0.01,0.01,0.26,0.17,0,0
"CAAB","1_nSPC","Global",0,1.48,0.08,0.08,32.71,32.71,2.48,2.48
"CAAB","2_BLT","Global",0,1.48,0.08,0.08,39.38,26.64,3.07,2.08
"CAAM","1_nSPC","Global",0,1.48,0.05,0.05,0.02,0.02,0,0
"CAAM","2_BLT","Global",0,1.48,0,0,0.08,0.06,0,0
"CABE","1_nSPC","Global",0,1.48,0.01,0.01,0.02,0.02,0,0
"CABE","2_BLT","Global",0,1.48,0.01,0.01,0.01,0,0,0
"CACA","1_nSPC","Global",0,1.48,0.15,0.15,0.42,0.42,0.06,0.06
"CACA","2_BLT","Global",0,1.48,0.08,0.08,1,0.68,0.08,0.06
"CACE","1_nSPC","Global",0,1.48,0,0,1.79,1.79,0.01,0.01
"CACE","2_BLT","Global",0,1.48,0,0,0.22,0.15,0,0
"CACO","1_nSPC","Global",0,1.48,0.01,0.01,0.03,0.03,0,0
"CACO","2_BLT","Global",0,1.48,0.01,0.01,0.24,0.16,0,0
"CADU","1_nSPC","Global",0,1.48,0.16,0.16,0.39,0.39,0.06,0.06
"CADU","2_BLT","Global",0,1.48,0.06,0.06,0.25,0.17,0.02,0.01
"CAEP","1_nSPC","Global",0,1.48,0,0,0.02,0.02,0,0
"CAFE","1_nSPC","Global",0,1.48,0.02,0.02,1.05,1.05,0.02,0.02
"CAFE","2_BLT","Global",0,1.48,0,0,2.01,1.36,0.01,0.01
"CAGA","1_nSPC","Global",0,1.48,0,0,115.09,115.09,0.24,0.24
"CAIG","1_nSPC","Global",0,1.48,0.01,0.01,20.9,20.9,0.26,0.26
"CAIG","2_BLT","Global",0,1.48,0.01,0.01,188.4,127.44,1.85,1.25
"CAJA","1_nSPC","Global",0,1.48,0,0,0.01,0.01,0,0
"CAJN","1_nSPC","Global",0,1.48,0.02,0.02,0.03,0.03,0,0
"CAJN","2_BLT","Global",0,1.48,0,0,0.01,0.01,0,0
"CALN","1_nSPC","Global",0,1.48,0,0,18.29,18.29,0.01,0.01
"CALU","1_nSPC","Global",0,1.48,0.1,0.1,3.14,3.14,0.32,0.32
"CALU","2_BLT","Global",0,1.48,0.2,0.2,4.47,3.02,0.91,0.62
"CAMC","1_nSPC","Global",0,1.48,0,0,0.01,0.01,0,0
"CAMC","2_BLT","Global",0,1.48,0.08,0.08,0.04,0.03,0,0
"CAME","1_nSPC","Global",0,1.48,0.43,0.43,3.94,3.94,1.68,1.68
"CAME","2_BLT","Global",0,1.48,0.27,0.27,4.48,3.03,1.21,0.82
"CAML","1_nSPC","Global",0,1.48,0.02,0.02,23.77,23.77,0.49,0.49
"CAML","2_BLT","Global",0,1.48,0,0,78.18,52.88,0.12,0.08
"CAOR","1_nSPC","Global",0,1.48,0.08,0.08,0.85,0.85,0.07,0.07
"CAOR","2_BLT","Global",0,1.48,0.15,0.15,1.04,0.7,0.16,0.11
"CAPA","1_nSPC","Global",0,1.48,0.17,0.17,0.1,0.1,0.02,0.02
"CAPA","2_BLT","Global",0,1.48,0.12,0.12,0.16,0.11,0.02,0.01
"CAPP","1_nSPC","Global",0,1.48,0,0,4.21,4.21,0.02,0.02
"CARD","1_nSPC","Global",0,1.48,0.05,0.05,0.02,0.02,0,0
"CARD","2_BLT","Global",0,1.48,0.01,0.01,0.04,0.02,0,0
"CASE","1_nSPC","Global",0,1.48,0.03,0.03,191.46,191.46,5.05,5.05
"CASE","2_BLT","Global",0,1.48,0.03,0.03,37.46,25.34,1.01,0.68
"CASO","1_nSPC","Global",0,1.48,0.14,0.14,0.04,0.04,0.01,0.01
"CASO","2_BLT","Global",0,1.48,0.08,0.08,0.07,0.05,0.01,0
"CASP","1_nSPC","Global",0,1.48,0,0,4.81,4.81,0,0
"CASP","2_BLT","Global",0,1.48,0.01,0.01,0.21,0.14,0,0
"CATE","1_nSPC","Global",0,1.48,0.13,0.13,9.4,9.4,1.25,1.25
"CATE","2_BLT","Global",0,1.48,0.06,0.06,22.29,15.08,1.33,0.9
"CAVA","1_nSPC","Global",0,1.48,0.01,0.01,0.03,0.03,0,0
"CAVA","2_BLT","Global",0,1.48,0.01,0.01,0.12,0.08,0,0
"CEAR","1_nSPC","Global",0,1.48,0.58,0.58,1.31,1.31,0.76,0.76
"CEAR","2_BLT","Global",0,1.48,0.3,0.3,2.72,1.84,0.81,0.55
"CEBI","1_nSPC","Global",0,1.48,0,0,0.02,0.02,0,0
"CEBI","2_BLT","Global",0,1.48,0,0,0.02,0.01,0,0
"CEFI","1_nSPC","Global",0,1.48,0,0,0.04,0.04,0,0
"CEFI","2_BLT","Global",0,1.48,0.01,0.01,0.11,0.08,0,0
"CEFL","1_nSPC","Global",0,1.48,0.74,0.74,0.06,0.06,0.05,0.05
"CEFL","2_BLT","Global",0,1.48,0.59,0.59,0.15,0.1,0.09,0.06
"CEFV","1_nSPC","Global",0,1.48,0,0,0.03,0.03,0,0
"CEHE","1_nSPC","Global",0,1.48,0.21,0.21,0.08,0.08,0.02,0.02
"CEHE","2_BLT","Global",0,1.48,0.13,0.13,0.09,0.06,0.01,0.01
"CELE","1_nSPC","Global",0,1.48,0.01,0.01,0.12,0.12,0,0
"CELE","2_BLT","Global",0,1.48,0.01,0.01,0.77,0.52,0.01,0.01
"CELO","1_nSPC","Global",0,1.48,0.01,0.01,0.03,0.03,0,0
"CELO","2_BLT","Global",0,1.48,0,0,0.07,0.05,0,0
"CEMI","1_nSPC","Global",0,1.48,0,0,0.63,0.63,0,0
"CEMI","2_BLT","Global",0,1.48,0.01,0.01,1.44,0.98,0.01,0
