"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"FUSI","873","606","267","1","0","1"
"GNAU","873","606","267","136","83","53"
"GOAT","873","606","267","2","0","2"
"GOBI","873","606","267","43","27","16"
"GOCI","873","606","267","3","1","2"
"GOVA","873","606","267","275","185","90"
"GRAL","873","606","267","27","11","16"
"GROU","873","606","267","7","3","4"
"GRSE","873","606","267","18","11","7"
"GYFL","873","606","267","13","10","3"
"GYJA","873","606","267","12","6","6"
"GYME","873","606","267","19","12","7"
"GYSP","873","606","267","2","1","1"
"GYUC","873","606","267","12","10","2"
"HABI","873","606","267","332","199","133"
"HAHO","873","606","267","530","388","142"
"HAMA","873","606","267","63","41","22"
"HAME","873","606","267","3","2","1"
"HAMT","873","606","267","299","176","123"
"HAOR","873","606","267","556","366","190"
"HASP","873","606","267","45","37","8"
"HATR","873","606","267","17","12","5"
"HECA","873","606","267","14","11","3"
"HECH","873","606","267","117","79","38"
"HEFA","873","606","267","222","176","46"
"HEME","873","606","267","39","35","4"
"HEMO","873","606","267","26","20","6"
"HEPO","873","606","267","43","23","20"
"HETH","873","606","267","32","22","10"
"HILO","873","606","267","26","23","3"
"HOAN","873","606","267","21","19","2"
"HODO","873","606","267","105","90","15"
"ISDE","873","606","267","3","1","2"
"ISSP","873","606","267","2","1","1"
"JACK","873","606","267","1","0","1"
"KYCI","873","606","267","37","7","30"
"KYPA","873","606","267","29","9","20"
"KYVA","873","606","267","7","0","7"
"LABI","873","606","267","172","120","52"
"LADI","873","606","267","721","486","235"
"LAPE","873","606","267","103","72","31"
"LAUN","873","606","267","4","3","1"
"LAXA","873","606","267","165","115","50"
"LEHA","873","606","267","9","6","3"
"LEOB","873","606","267","19","18","1"
"LEOL","873","606","267","21","18","3"
"LERU","873","606","267","6","5","1"
"LETA","873","606","267","17","10","7"
"LETH","873","606","267","23","21","2"
"LEXA","873","606","267","16","10","6"
"LIZA","873","606","267","55","36","19"
"LUBO","873","606","267","388","281","107"
"LUFU","873","606","267","66","49","17"
"LUGI","873","606","267","120","85","35"
"LUKA","873","606","267","147","87","60"
"LUMO","873","606","267","36","30","6"
"MABR","873","606","267","37","30","7"
"MACO","873","606","267","1","0","1"
"MALA","873","606","267","78","62","16"
"MAMA","873","606","267","136","103","33"
"MAME","873","606","267","485","341","144"
"MANI","873","606","267","185","159","26"
"MEAT","873","606","267","102","68","34"
"MENI","873","606","267","113","92","21"
"MEVI","873","606","267","676","504","172"
