"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"PLGO","1449","883","566","143","73","70"
"PLIM","1449","883","566","161","110","51"
"PLJO","1449","883","566","775","451","324"
"PRKA","1449","883","566","44","19","25"
"PRME","1449","883","566","73","17","56"
"PSCE","1449","883","566","133","112","21"
"PSDE","1449","883","566","7","4","3"
"PSEV","1449","883","566","204","153","51"
"PSOC","1449","883","566","338","206","132"
"PSTE","1449","883","566","116","66","50"
"PSTH","1449","883","566","32","28","4"
"PTHE","1449","883","566","24","20","4"
"PTSP","1449","883","566","25","16","9"
"RHRE","1449","883","566","79","46","33"
"SADI","1449","883","566","112","88","24"
"SAGR","1449","883","566","2","1","1"
"SAPP","1449","883","566","22","17","5"
"SASP","1449","883","566","117","78","39"
"SATI","1449","883","566","3","1","2"
"SAXA","1449","883","566","106","44","62"
"SCDU","1449","883","566","885","546","339"
"SCLY","1449","883","566","8","7","1"
"SCPP","1449","883","566","7","2","5"
"SCPS","1449","883","566","417","246","171"
"SCRU","1449","883","566","90","66","24"
"SCSP","1449","883","566","295","50","245"
"SEBA","1449","883","566","5","4","1"
"SECO","1449","883","566","33","28","5"
"SEDU","1449","883","566","33","28","5"
"SOLD","1449","883","566","2","1","1"
"SPBA","1449","883","566","12","9","3"
"SPDE","1449","883","566","19","12","7"
"STBA","1449","883","566","1048","589","459"
"STMA","1449","883","566","1128","622","506"
"SUBU","1449","883","566","331","266","65"
"SUFR","1449","883","566","176","150","26"
"SURG","1449","883","566","11","9","2"
"SYBI","1449","883","566","27","26","1"
"SYUL","1449","883","566","14","12","2"
"SYVA","1449","883","566","26","15","11"
"THBA","1449","883","566","1134","662","472"
"THDU","1449","883","566","1415","855","560"
"THLU","1449","883","566","18","14","4"
"THPU","1449","883","566","253","164","89"
"THQU","1449","883","566","12","9","3"
"THTR","1449","883","566","123","59","64"
"TROB","1449","883","566","191","150","41"
"TYCR","1449","883","566","11","4","7"
"WRAS","1449","883","566","44","9","35"
"XAAU","1449","883","566","4","2","2"
"XAME","1449","883","566","36","30","6"
"ZACO","1449","883","566","686","478","208"
"ZEFL","1449","883","566","351","210","141"
"ZEVE","1449","883","566","342","226","116"
