"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CATY","1_nSPC","Global",3.29,0.16,0.03,0.03,0,0,0,0
"CAVA","1_nSPC","Global",3.29,0.16,0,0,0.01,0.01,0,0
"CAVE","1_nSPC","Global",3.29,0.16,0.04,0.04,0,0,0,0
"CAZO","1_nSPC","Global",3.29,0.16,0.14,0.14,0,0,0,0
"CEAR","1_nSPC","Global",3.29,0.16,0.04,0.04,0,0,0,0
"CEFI","1_nSPC","Global",3.29,0.16,0.05,0.05,0.01,0.01,0,0
"CEFL","1_nSPC","Global",3.29,0.16,0,0,0.02,0.02,0,0
"CEIN","1_nSPC","Global",3.29,0.16,0.01,0.01,0.01,0.01,0,0
"CELO","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"CEPO","1_nSPC","Global",3.29,0.16,0.43,0.43,0.02,0.02,0.01,0.01
"CHAC","1_nSPC","Global",3.29,0.16,0.03,0.03,0.03,0.03,0,0
"CHAG","1_nSPC","Global",3.29,0.16,0.07,0.07,0.02,0.02,0,0
"CHAU","1_nSPC","Global",3.29,0.16,0.34,0.34,0,0,0,0
"CHCI","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"CHEP","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"CHFR","1_nSPC","Global",3.29,0.16,0.54,0.54,0,0,0,0
"CHHA","1_nSPC","Global",3.29,0.16,0.4,0.4,0.05,0.05,0.02,0.02
"CHIN","1_nSPC","Global",3.29,0.16,0.01,0.01,0,0,0,0
"CHKL","1_nSPC","Global",3.29,0.16,0.14,0.14,0.01,0.01,0,0
"CHLC","1_nSPC","Global",3.29,0.16,0,0,0.06,0.06,0,0
"CHLI","1_nSPC","Global",3.29,0.16,0,0,0,0,0,0
"CHLT","1_nSPC","Global",3.29,0.16,0.07,0.07,0,0,0,0
"CHLU","1_nSPC","Global",3.29,0.16,0.06,0.06,0,0,0,0
"CHMI","1_nSPC","Global",3.29,0.16,0.45,0.45,0.01,0.01,0,0
"CHMU","1_nSPC","Global",3.29,0.16,0.36,0.36,0.01,0.01,0,0
"CHOR","1_nSPC","Global",3.29,0.16,0.21,0.21,0,0,0,0
"CHOV","1_nSPC","Global",3.29,0.16,0.39,0.39,0.05,0.05,0.02,0.02
"CHPE","1_nSPC","Global",3.29,0.16,0.56,0.56,0.01,0.01,0.01,0.01
"CHPE","2_TOW","Global",3.29,0.16,0.1,0.75,0,0.01,0,0
"CHQU","1_nSPC","Global",3.29,0.16,0.12,0.12,0,0,0,0
"CHSL","1_nSPC","Global",3.29,0.16,0.4,0.4,0.02,0.02,0.01,0.01
"CHTR","1_nSPC","Global",3.29,0.16,0.07,0.07,0.01,0.01,0,0
"CHUB","1_nSPC","Global",3.29,0.16,0.34,0.34,0.03,0.03,0.01,0.01
"CHUB","2_TOW","Global",3.29,0.16,0,0.1,0,0.01,0,0
"CHUN","1_nSPC","Global",3.29,0.16,0.05,0.05,0,0,0,0
"CHVA","1_nSPC","Global",3.29,0.16,0.41,0.41,0.22,0.22,0.09,0.09
"CHVE","1_nSPC","Global",3.29,0.16,0.08,0.08,0.01,0.01,0,0
"CHVI","1_nSPC","Global",3.29,0.16,0.06,0.06,0,0,0,0
