"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"APXA","2_BLT","-6.1","-9.272","-2.646","1.3","0.2360","4.4925","0.00043","0.15","0.18","0.14","7.6e-05","0.022"
"ARHI","1_nSPC","-1.9","-4.4212"," 0.6676","0.5","0.09515","1.56505","0.01709","0.0171","0.80","0.80","0.01375","0.0138"
"ARHI","2_BLT","-1.9","-4.4212"," 0.6676","0.5","0.09515","1.56505","0.00069","0.0045","0.42","0.84","0.00029","0.0038"
"ARME","1_nSPC","-2.3","-3.320","-1.270","1.4","0.7862","2.3637","0.088","0.088","2.5","2.5","0.223","0.22"
"ARME","2_BLT","-2.3","-3.320","-1.270","1.4","0.7862","2.3637","0.010","0.092","2.5","1.8","0.026","0.17"
"AUCH","1_nSPC","-1.6","-2.5208","-0.7774","0.65","0.3280","1.1888","0.108","0.108","0.32","0.32","0.0340","0.034"
"AUCH","2_BLT","-1.6","-2.5208","-0.7774","0.65","0.3280","1.1888","0.019","0.088","0.09","0.14","0.0017","0.012"
"BAUN","1_nSPC","-6.4","-7.484","-5.140","0.72","0.4583","1.1105","0.472","0.47","0.55","0.55","0.2618","0.26"
"BAUN","2_BLT","-6.4","-7.484","-5.140","0.72","0.4583","1.1105","0.016","0.91","0.40","0.56","0.0066","0.50"
"BAVI","1_nSPC","-1.4","-2.3322","-0.4072","0.58","0.3304","0.9373","0.0355","0.036","4.2","4.2","0.150","0.15"
"BAVI","2_BLT","-1.4","-2.3322","-0.4072","0.58","0.3304","0.9373","0.0083","0.032","2.7","4.7","0.023","0.15"
"BOAL","1_nSPC","-3.6","-7.7237","-0.2751","2.1","0.1318","9.8621","0.0545","0.054","2.3","2.29","0.1248","0.125"
"BOAL","2_BLT","-3.6","-7.7237","-0.2751","2.1","0.1318","9.8621","0.0021","0.073","1.3","0.63","0.0027","0.046"
"BODI","1_nSPC","-4.4","-8.028","-1.198","2.7","0.4192","9.1315","0.03912","0.039","0.075","0.075","0.00293","0.0029"
"BODI","2_BLT","-4.4","-8.028","-1.198","2.7","0.4192","9.1315","0.00047","0.038","0.127","0.048","0.00006","0.0018"
"BOLO","1_nSPC","-4.6","-5.732","-3.363","0.52","0.3759","0.7058","0.282","0.28","0.85","0.85","0.2394","0.24"
"BOLO","2_BLT","-4.6","-5.732","-3.363","0.52","0.3759","0.7058","0.033","0.76","0.29","0.57","0.0096","0.43"
"BOMA","1_nSPC","-3.1","-6.534"," 0.351","0.81","0.05742","3.27847","0.02040","0.0204","0.55","0.55","1.1e-02","0.0113"
"BOMA","2_BLT","-3.1","-6.534"," 0.351","0.81","0.05742","3.27847","0.00039","0.0089","0.21","0.26","8.2e-05","0.0023"
"BOMU","1_nSPC","-1","-2.4066"," 0.1648","0.54","0.1029","1.7532","0.0083","0.0083","394","394","3.26","3.3"
"BOMU","2_BLT","-1","-2.4066"," 0.1648","0.54","0.1029","1.7532","0.0031","0.0087"," 91","167","0.28","1.4"
"BOPR","1_nSPC","-3.4","-5.178","-1.661","0.66","0.2528","1.4512","0.0399","0.040","0.17","0.17","0.00674","0.0067"
"BOPR","2_BLT","-3.4","-5.178","-1.661","0.66","0.2528","1.4512","0.0015","0.043","0.12","0.18","0.00018","0.0075"
"CAAB","1_nSPC","-1.4","-1.835","-1.030","0.88","0.7037","1.0947","0.32","0.32","69","69","22.0","22"
"CAAB","2_BLT","-1.4","-1.835","-1.030","0.88","0.7037","1.0947","0.12","0.37","64","73"," 7.9","27"
"CACA","1_nSPC","-2.3","-3.018","-1.671","1","0.6356","1.5810","0.204","0.20","0.68","0.68","0.139","0.14"
"CACA","2_BLT","-2.3","-3.018","-1.671","1","0.6356","1.5810","0.028","0.23","0.63","0.60","0.017","0.14"
"CADU","1_nSPC","-2.3","-2.906","-1.582","1.3","0.8209","1.8508","0.151","0.15","0.52","0.52","0.078","0.078"
