"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ELBI","1_nSPC","-4.2","-6.047","-2.313","0.065","0.01388","0.21825","0.02334","0.023","16.04","16.0","0.37427","0.37"
"ELBI","2_TOW","-4.2","-6.047","-2.313","0.065","0.01388","0.21825","0.00024","0.015"," 0.53"," 8.2","0.00013","0.13"
"FICO","1_nSPC","-2.7","-4.083","-1.269","0.13","0.0277","0.4099","0.03255","0.0325","0.627","0.63","2.0e-02","0.0204"
"FICO","2_TOW","-2.7","-4.083","-1.269","0.13","0.0277","0.4099","0.00063","0.0094","0.087","0.65","5.5e-05","0.0061"
"HYQU","1_nSPC","-0.048","-1.68421"," 1.64655","0.048","0.01588","0.11605","0.0016","0.0016","23.86","24","0.0385","0.039"
"HYQU","2_TOW","-0.048","-1.68421"," 1.64655","0.048","0.01588","0.11605","0.0030","0.0032"," 0.94","19","0.0028","0.062"
"MOGR","1_nSPC","-7","-8.238","-5.950","0.27","0.1059","0.5819","0.2537","0.25","7.39","7.4","1.87470","1.87"
"MOGR","2_TOW","-7","-8.238","-5.950","0.27","0.1059","0.5819","0.0012","0.58","0.29","1.1","0.00036","0.63"
"NABR","1_nSPC","-9.9","-16.001"," -4.155","0.044","0.0005229","0.3505385","0.15505","0.16","6.45","6.4","1.0e+00","1.0"
"NABR","2_TOW","-9.9","-16.001"," -4.155","0.044","0.0005229","0.3505385","0.00012","0.71","0.43","9.9","5.3e-05","7.1"
"NAHE","1_nSPC","-5","-6.024","-3.994","0.24","0.1143","0.4607","0.0692","0.069","7.39","7.4","0.5111","0.51"
"NAHE","2_TOW","-5","-6.024","-3.994","0.24","0.1143","0.4607","0.0017","0.207","0.87","3.7","0.0015","0.76"
"NASP","1_nSPC","-2.4","-3.8978","-0.7877","3"," 0.2878","10.8448","0.00629","0.0063","6.7","6.67","0.04192","0.0419"
"NASP","2_TOW","-2.4","-3.8978","-0.7877","3"," 0.2878","10.8448","0.00039","0.0041","1.1","0.35","0.00042","0.0014"
"NAUN","1_nSPC","-7.4","-8.047","-6.720","0.15","0.1035","0.2058","0.6532","0.65","12.9","12.9","8.4388","8.4"
"NAUN","2_TOW","-7.4","-8.047","-6.720","0.15","0.1035","0.2058","0.0031","0.83"," 1.2"," 8.1","0.0037","6.7"
"OPFA","1_nSPC","-5","-8.222","-1.845","1.4","0.1620","4.9778","1.4e-02","0.0142","5.5","5.53","7.8e-02","0.0783"
"OPFA","2_TOW","-5","-8.222","-1.845","1.4","0.1620","4.9778","4.8e-05","0.0073","1.2","0.89","5.9e-05","0.0065"
"OPPU","1_nSPC","-4.1","-4.712","-3.542","0.12","0.07942","0.16158","0.1398","0.14","10.25","10.3","1.4330","1.4"
"OPPU","2_TOW","-4.1","-4.712","-3.542","0.12","0.07942","0.16158","0.0039","0.19"," 0.62"," 5.3","0.0024","1.0"
"PAPO","1_nSPC","-7.1","-13.035"," -1.427","47","  0.02776","329.98765","3.7e-02","0.0373","1.08","1.076","4.0e-02","4.0e-02"
"PAPO","2_TOW","-7.1","-13.035"," -1.427","47","  0.02776","329.98765","4.0e-06","0.0048","0.43","0.009","1.7e-06","4.3e-05"
"PSDE","1_nSPC","-2.4","-4.3793","-0.2503","0.21","0.01789","1.06101","0.00303","0.0030","25.5","26","0.0772","0.077"
"PSDE","2_TOW","-2.4","-4.3793","-0.2503","0.21","0.01789","1.06101","0.00066","0.0071"," 2.4","11","0.0016","0.081"
"SCRU","1_nSPC","-4.7","-5.687","-3.597","0.18","0.09176","0.30830","0.1161","0.12","2.79","2.8","0.3240","0.32"
"SCRU","2_TOW","-4.7","-5.687","-3.597","0.18","0.09176","0.30830","0.0006","0.06","0.33","1.8","0.0002","0.11"
"SCSP","1_nSPC","-4.2","-5.797","-2.738","1.9","0.1777","8.5482","0.08237","0.082","0.49","0.49","0.04042","0.0404"
"SCSP","2_TOW","-4.2","-5.797","-2.738","1.9","0.1777","8.5482","0.00053","0.035","0.34","0.18","0.00018","0.0063"
"SEDU","1_nSPC","-2.9","-3.735","-1.919","0.11","0.05567","0.18781","0.0219","0.022","19.7","20","0.4315","0.43"
"SEDU","2_TOW","-2.9","-3.735","-1.919","0.11","0.05567","0.18781","0.0019","0.031"," 2.2","21","0.0041","0.64"
"SPBA","1_nSPC","-4.3","-6.960","-1.802","736","2.341e-03","1.939e+03","0.01112","0.011","7.4","7.4244","0.08253","8.3e-02"
"SPBA","2_TOW","-4.3","-6.960","-1.802","736","2.341e-03","1.939e+03","0.00046","0.034","1.2","0.0016","0.00053","5.4e-05"
"TROB","1_nSPC","-4.2","-4.695","-3.709","0.019","0.01492","0.02386","0.1125","0.11","35.38","35","3.9792","4.0"
"TROB","2_TOW","-4.2","-4.695","-3.709","0.019","0.01492","0.02386","0.0046","0.24"," 0.73","39","0.0034","9.4"
"WRAS","1_nSPC","-3.2","-5.011","-1.505","174"," 86.92","310.87","0.03079","0.031","0.01","0.0102","0.00031","3.1e-04"
"WRAS","2_TOW","-3.2","-5.011","-1.505","174"," 86.92","310.87","0.00054","0.013","0.44","0.0025","0.00024","3.3e-05"
