"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"PABA","1_nSPC","-1.1","-2.30496"," 0.07648","0.53","0.05677","2.12745","0.0678","0.0678","0.00258","0.00258","1.7e-04","1.7e-04"
"PABA","2_TOW","-1.1","-2.30496"," 0.07648","0.53","0.05677","2.12745","0.0021","0.0064","0.00046","0.00087","9.6e-07","5.5e-06"
"PACY","1_nSPC","-6.8","-7.585","-5.984","0.22","0.1177","0.3722","0.32241","0.32","0.00314","0.0031","1.0e-03","0.00101"
"PACY","2_TOW","-6.8","-7.585","-5.984","0.22","0.1177","0.3722","0.00047","0.29","0.00059","0.0027","2.8e-07","0.00078"
"PLGI","1_nSPC","0.27","-0.9291"," 1.3986","0.9","0.2682","2.2080","0.0019","0.0019","0.0014","0.0014","2.7e-06","2.7e-06"
"PLGI","2_TOW","0.27","-0.9291"," 1.3986","0.9","0.2682","2.2080","0.0034","0.0026","0.0011","0.0012","3.6e-06","3.0e-06"
"PLLV","1_nSPC","-1.5","-1.862","-1.014","0.26","0.2220","0.3077","0.0219","0.022","0.0017","0.0017","3.8e-05","3.8e-05"
"PLLV","2_TOW","-1.5","-1.862","-1.014","0.26","0.2220","0.3077","0.0085","0.036","0.0005","0.0019","4.3e-06","6.9e-05"
"PLOR","1_nSPC","-2.6","-3.790","-1.481","0.14","0.01796","0.52159","0.00541","0.0054","0.00944","0.0094","5.1e-05","5.1e-05"
"PLOR","2_TOW","-2.6","-3.790","-1.481","0.14","0.01796","0.52159","0.00017","0.0024","0.00067","0.0049","1.1e-07","1.2e-05"
"PLPI","1_nSPC","0.061","-0.6343"," 0.7958","0.28","0.2022","0.3824","0.0073","0.0073","0.00200","0.0020","1.5e-05","1.5e-05"
"PLPI","2_TOW","0.061","-0.6343"," 0.7958","0.28","0.2022","0.3824","0.0092","0.0086","0.00051","0.0018","4.6e-06","1.6e-05"
"PLTE","1_nSPC","-1.7","-2.8152","-0.3226","0.61","0.1933","1.4034","0.00437","0.0044","0.00156","0.0016","6.8e-06","6.8e-06"
"PLTE","2_TOW","-1.7","-2.8152","-0.3226","0.61","0.1933","1.4034","0.00026","0.0014","0.00085","0.0014","2.2e-07","1.9e-06"
"PLVI","1_nSPC","-3.6","-4.251","-2.898","0.28","0.1952","0.3774","0.0365","0.036","0.00189","0.0019","6.9e-05","6.9e-05"
"PLVI","2_TOW","-3.6","-4.251","-2.898","0.28","0.1952","0.3774","0.0027","0.088","0.00056","0.0020","1.5e-06","1.8e-04"
"PSFL","1_nSPC","-2.2","-2.773","-1.694","0.34","0.2522","0.4471","0.1317","0.132","0.00222","0.0022","2.9e-04","0.00029"
"PSFL","2_TOW","-2.2","-2.773","-1.694","0.34","0.2522","0.4471","0.0081","0.071","0.00053","0.0016","4.3e-06","0.00011"
"SASP","1_nSPC","-6.3","-8.230","-4.253","0.3","0.0972","0.7206","0.1268","0.127","0.0021","0.0021","2.7e-04","2.7e-04"
"SASP","2_TOW","-6.3","-8.230","-4.253","0.3","0.0972","0.7206","0.0001","0.052","0.0005","0.0016","5.0e-08","8.5e-05"
"SCAL","1_nSPC","-1.2","-1.6342","-0.6627","0.4","0.3102","0.5209","0.0421","0.042","0.00157","0.0016","6.6e-05","6.6e-05"
"SCAL","2_TOW","-1.2","-1.6342","-0.6627","0.4","0.3102","0.5209","0.0063","0.020","0.00077","0.0019","4.9e-06","3.8e-05"
