"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABAB","1260","947","313","6","5","1"
"ABSO","1260","947","313","38","28","10"
"ABVA","1260","947","313","42","39","3"
"ACAC","1260","947","313","245","188","57"
"ACAN","1260","947","313","11","9","2"
"ACBL","1260","947","313","123","84","39"
"ACDU","1260","947","313","25","14","11"
"ACGU","1260","947","313","14","12","2"
"ACLE","1260","947","313","5","1","4"
"ACLI","1260","947","313","203","171","32"
"ACLU","1260","947","313","177","160","17"
"ACMA","1260","947","313","127","106","21"
"ACMT","1260","947","313","111","94","17"
"ACNC","1260","947","313","961","746","215"
"ACNF","1260","947","313","232","177","55"
"ACNI","1260","947","313","88","61","27"
"ACNR","1260","947","313","324","244","80"
"ACOL","1260","947","313","297","242","55"
"ACPY","1260","947","313","39","37","2"
"ACSP","1260","947","313","30","15","15"
"ACTH","1260","947","313","309","236","73"
"ACTR","1260","947","313","212","174","38"
"ACXA","1260","947","313","137","102","35"
"AEOC","1260","947","313","37","29","8"
"AERO","1260","947","313","61","47","14"
"ALSC","1260","947","313","106","96","10"
"AMCH","1260","947","313","17","10","7"
"AMSC","1260","947","313","51","44","7"
"ANCA","1260","947","313","279","250","29"
"ANME","1260","947","313","35","26","9"
"ANMG","1260","947","313","68","59","9"
"ANTH","1260","947","313","15","5","10"
"ANTW","1260","947","313","177","130","47"
"APFU","1260","947","313","741","578","163"
"APGR","1260","947","313","76","60","16"
"APSP","1260","947","313","21","6","15"
"APVI","1260","947","313","65","55","10"
"APXA","1260","947","313","294","259","35"
"ARHI","1260","947","313","16","14","2"
"ARME","1260","947","313","136","106","30"
"AUCH","1260","947","313","78","58","20"
"BAUN","1260","947","313","695","603","92"
"BAVI","1260","947","313","71","58","13"
"BLEN","1260","947","313","276","199","77"
"BOAL","1260","947","313","9","8","1"
"BOAX","1260","947","313","172","123","49"
"BODI","1260","947","313","59","49","10"
"BOLO","1260","947","313","221","173","48"
"BOMA","1260","947","313","26","24","2"
"BOMU","1260","947","313","22","15","7"
"BOPR","1260","947","313","131","94","37"
"BOXF","1260","947","313","12","1","11"
"BUTT","1260","947","313","11","1","10"
"CAAB","1260","947","313","429","324","105"
"CAAM","1260","947","313","81","71","10"
"CACA","1260","947","313","237","193","44"
"CADU","1260","947","313","254","217","37"
"CAFE","1260","947","313","26","21","5"
"CAIG","1260","947","313","71","52","19"
"CAJA","1260","947","313","34","25","9"
"CAJN","1260","947","313","13","10","3"
"CALU","1260","947","313","340","266","74"
"CAMC","1260","947","313","33","24","9"
"CAME","1260","947","313","626","529","97"
"CAML","1260","947","313","157","143","14"
"CAOR","1260","947","313","180","158","22"
"CAPA","1260","947","313","65","62","3"
"CARD","1260","947","313","31","9","22"
"CASE","1260","947","313","12","11","1"
"CASO","1260","947","313","25","16","9"
"CATE","1260","947","313","174","126","48"
"CEAR","1260","947","313","1033","814","219"
"CEBC","1260","947","313","5","4","1"
"CEFI","1260","947","313","1","0","1"
"CEFL","1260","947","313","1047","809","238"
"CELE","1260","947","313","60","48","12"
"CELO","1260","947","313","687","503","184"
"CEMI","1260","947","313","316","228","88"
"CESP","1260","947","313","33","25","8"
"CESS","1260","947","313","5","0","5"
"CESX","1260","947","313","17","16","1"
"CEUR","1260","947","313","773","617","156"
"CEVR","1260","947","313","12","8","4"
"CHAC","1260","947","313","558","386","172"
"CHAG","1260","947","313","201","139","62"
"CHAM","1260","947","313","2","1","1"
"CHAU","1260","947","313","424","327","97"
"CHBE","1260","947","313","37","35","2"
"CHCA","1260","947","313","3","2","1"
"CHCH","1260","947","313","53","51","2"
"CHCI","1260","947","313","16","12","4"
"CHEP","1260","947","313","126","93","33"
"CHFA","1260","947","313","8","6","2"
"CHFN","1260","947","313","100","82","18"
"CHKL","1260","947","313","49","45","4"
"CHLE","1260","947","313","12","5","7"
"CHLT","1260","947","313","235","185","50"
"CHLU","1260","947","313","420","330","90"
"CHMA","1260","947","313","828","610","218"
"CHMC","1260","947","313","273","201","72"
"CHME","1260","947","313","273","211","62"
"CHMI","1260","947","313","3","2","1"
"CHMU","1260","947","313","48","33","15"
"CHOR","1260","947","313","461","382","79"
"CHOX","1260","947","313","69","66","3"
"CHPE","1260","947","313","46","30","16"
"CHPU","1260","947","313","265","211","54"
"CHQN","1260","947","313","10","10","0"
"CHQU","1260","947","313","298","255","43"
"CHRE","1260","947","313","155","127","28"
"CHSE","1260","947","313","6","5","1"
"CHSL","1260","947","313","635","472","163"
"CHTL","1260","947","313","397","351","46"
"CHTR","1260","947","313","252","167","85"
"CHUB","1260","947","313","231","182","49"
"CHUD","1260","947","313","80","65","15"
"CHUL","1260","947","313","91","84","7"
"CHUN","1260","947","313","152","124","28"
"CHVA","1260","947","313","720","558","162"
"CHVE","1260","947","313","16","10","6"
"CHVG","1260","947","313","22","21","1"
"CHVR","1260","947","313","5","4","1"
"CHXA","1260","947","313","464","352","112"
"CIEX","1260","947","313","143","92","51"
"CIHU","1260","947","313","103","98","5"
"CILB","1260","947","313","19","18","1"
"CIOX","1260","947","313","332","248","84"
"CIPI","1260","947","313","80","76","4"
"CIPO","1260","947","313","31","29","2"
"CISP","1260","947","313","183","127","56"
"CIVA","1260","947","313","4","3","1"
"CIVR","1260","947","313","195","133","62"
"COAY","1260","947","313","404","356","48"
"COCE","1260","947","313","140","109","31"
"COGA","1260","947","313","313","246","67"
"CTCY","1260","947","313","695","559","136"
"CTFL","1260","947","313","186","131","55"
"CTHA","1260","947","313","229","191","38"
"CTMA","1260","947","313","843","667","176"
"CTSP","1260","947","313","87","19","68"
"CTSR","1260","947","313","497","353","144"
"CTST","1260","947","313","108","66","42"
"DAAL","1260","947","313","69","42","27"
"DAAR","1260","947","313","20","11","9"
"DAAU","1260","947","313","231","156","75"
"DAMS","1260","947","313","70","18","52"
"DEMA","1260","947","313","24","23","1"
"DIHY","1260","947","313","18","13","5"
"DRAG","1260","947","313","5","3","2"
"ECMI","1260","947","313","10","4","6"
"ECNA","1260","947","313","4","3","1"
"ECNE","1260","947","313","3","2","1"
"ELBI","1260","947","313","147","127","20"
"ENPA","1260","947","313","4","3","1"
"EPFA","1260","947","313","193","142","51"
"EPHE","1260","947","313","64","47","17"
"EPHO","1260","947","313","44","30","14"
"EPIN","1260","947","313","393","302","91"
"EPMC","1260","947","313","57","48","9"
"EPME","1260","947","313","47","21","26"
"EPML","1260","947","313","114","85","29"
"EPPO","1260","947","313","91","71","20"
"EPRE","1260","947","313","63","54","9"
"EPSL","1260","947","313","80","63","17"
"EPSP","1260","947","313","123","69","54"
"EPTA","1260","947","313","83","69","14"
"EXBR","1260","947","313","11","10","1"
"FICO","1260","947","313","41","33","8"
"FILE","1260","947","313","12","1","11"
"FISH","1260","947","313","11","2","9"
"FOFL","1260","947","313","324","259","65"
"FOLO","1260","947","313","46","40","6"
"FUSI","1260","947","313","9","4","5"
"GNAU","1260","947","313","41","28","13"
"GOAT","1260","947","313","31","1","30"
