"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"NAHE","2_TOW","Global",3.47,14.19,0.01,0.27,7.43,0.52,0.09,0.14
"NALI","1_nSPC","Global",3.47,14.19,0.26,0.26,2.44,2.44,0.62,0.62
"NAMA","1_nSPC","Global",3.47,14.19,0,0,5.67,5.67,0,0
"NASP","1_nSPC","Global",3.47,14.19,0.01,0.01,6.67,6.67,0.04,0.04
"NASP","2_TOW","Global",3.47,14.19,0,0.1,9.3,0.65,0.03,0.07
"NAUN","1_nSPC","Global",3.47,14.19,0.65,0.65,12.92,12.92,8.44,8.44
"NAUN","2_TOW","Global",3.47,14.19,0.02,0.44,5.62,0.4,0.13,0.17
"NEAU","1_nSPC","Global",3.47,14.19,0,0,0.24,0.24,0,0
"NESA","1_nSPC","Global",3.47,14.19,0.13,0.13,0.31,0.31,0.04,0.04
"NESP","1_nSPC","Global",3.47,14.19,0,0,0.15,0.15,0,0
"NOTA","1_nSPC","Global",3.47,14.19,0.04,0.04,0.07,0.07,0,0
"OPFA","1_nSPC","Global",3.47,14.19,0.01,0.01,5.53,5.53,0.08,0.08
"OPFA","2_TOW","Global",3.47,14.19,0,0.01,4.81,0.34,0,0
"OPPU","1_nSPC","Global",3.47,14.19,0.14,0.14,10.25,10.25,1.43,1.43
"OPPU","2_TOW","Global",3.47,14.19,0.03,0.52,4.99,0.35,0.16,0.18
"OSMA","1_nSPC","Global",3.47,14.19,0.01,0.01,0.14,0.14,0,0
"OSME","1_nSPC","Global",3.47,14.19,0.07,0.07,0.09,0.09,0.01,0.01
"OXBI","1_nSPC","Global",3.47,14.19,0.31,0.31,0.1,0.1,0.03,0.03
"OXUN","1_nSPC","Global",3.47,14.19,0.33,0.33,1.11,1.11,0.37,0.37
"PAAR","1_nSPC","Global",3.47,14.19,0.43,0.43,0.1,0.1,0.04,0.04
"PACH","1_nSPC","Global",3.47,14.19,0,0,0.27,0.27,0,0
"PACY","1_nSPC","Global",3.47,14.19,0.28,0.28,0.68,0.68,0.19,0.19
"PAFO","1_nSPC","Global",3.47,14.19,0.28,0.28,0.16,0.16,0.04,0.04
"PAIN","1_nSPC","Global",3.47,14.19,0.1,0.1,0.28,0.28,0.03,0.03
"PAMU","1_nSPC","Global",3.47,14.19,0.88,0.88,0.46,0.46,0.41,0.41
"PAPL","1_nSPC","Global",3.47,14.19,0.4,0.4,0.24,0.24,0.1,0.1
"PAPO","1_nSPC","Global",3.47,14.19,0.04,0.04,1.08,1.08,0.04,0.04
"PAPO","2_TOW","Global",3.47,14.19,0,0,3.85,0.27,0,0
"PARR","1_nSPC","Global",3.47,14.19,0.24,0.24,0.34,0.34,0.08,0.08
"PASC","1_nSPC","Global",3.47,14.19,0.07,0.07,0.04,0.04,0,0
"PEAS","1_nSPC","Global",3.47,14.19,0.03,0.03,0.04,0.04,0,0
"PESP","1_nSPC","Global",3.47,14.19,0.24,0.24,0.05,0.05,0.01,0.01
"PLAR","1_nSPC","Global",3.47,14.19,0.04,0.04,0.6,0.6,0.03,0.03
"PLEW","1_nSPC","Global",3.47,14.19,0.11,0.11,0.01,0.01,0,0
"PLGO","1_nSPC","Global",3.47,14.19,0.12,0.12,0.01,0.01,0,0
"PLIM","1_nSPC","Global",3.47,14.19,0.22,0.22,0.04,0.04,0.01,0.01
"PLJO","1_nSPC","Global",3.47,14.19,0.51,0.51,0.07,0.07,0.03,0.03
