"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ECNA","1_nSPC","-4.5","-8.3704","-0.3917","NaN","NA","NA","2.1e-02","0.0214","0.23","0.23","4.9e-03","0.0049"
"ECNA","2_TOW","-4.5","-8.3704","-0.3917","NaN","NA","NA","3.8e-05","0.0033","0.16"," NaN","6.0e-06","   NaN"
"ELBI","1_nSPC","-5.1","-6.607","-3.703","0.09","0.02782","0.22472","0.05073","0.051","8.3"," 8.3","0.4234","0.42"
"ELBI","2_TOW","-5.1","-6.607","-3.703","0.09","0.02782","0.22472","0.00048","0.076","1.7","18.6","0.0008","1.41"
"EPSP","1_nSPC","-5.3","-8.068","-2.728","1.2","0.3239","3.1351","7.6e-02","0.076","0.34","0.34","2.5e-02","0.0255"
"EPSP","2_TOW","-5.3","-8.068","-2.728","1.2","0.3239","3.1351","5.7e-05","0.012","0.19","0.16","1.1e-05","0.0018"
"FICO","1_nSPC","-1.7","-2.7945","-0.6076","0.062","0.01786","0.16428","0.0075","0.0075","0.94","0.94","7.1e-03","0.0071"
"FICO","2_TOW","-1.7","-2.7945","-0.6076","0.062","0.01786","0.16428","0.0018","0.0097","0.04","0.65","7.1e-05","0.0063"
"LEOL","1_nSPC","-5","-7.422","-2.354","0.1","0.03124","0.26801","3.2e-02","0.032","4.82","4.8","1.5e-01","0.15"
"LEOL","2_TOW","-5","-7.422","-2.354","0.1","0.03124","0.26801","7.7e-05","0.011","0.18","1.8","1.4e-05","0.02"
"LETH","1_nSPC","-4.9","-6.762","-2.881","0.26","0.07772","0.62083","0.02879","0.029","2.34","2.34","6.7e-02","0.067"
"LETH","2_TOW","-4.9","-6.762","-2.881","0.26","0.07772","0.62083","0.00032","0.040","0.22","0.85","7.2e-05","0.035"
"LUBO","1_nSPC","-4.9","-5.243","-4.561","0.17","0.1457","0.2070","0.385","0.38","3.66","3.7","1.4080","1.4"
"LUBO","2_TOW","-4.9","-5.243","-4.561","0.17","0.1457","0.2070","0.013","0.63","0.33","1.9","0.0041","1.2"
"LUMO","1_nSPC","-7.4","-10.117"," -4.775","0.13","0.05383","0.26253","1.2e-01","0.12","1.43","1.4","1.8e-01","0.18"
"LUMO","2_TOW","-7.4","-10.117"," -4.775","0.13","0.05383","0.26253","9.2e-05","0.13","0.14","1.1","1.3e-05","0.14"
"MAMA","1_nSPC","-5.2","-6.065","-4.356","0.11","0.07093","0.15271","0.1352","0.14","3.07","3.1","0.41519","0.42"
"MAMA","2_TOW","-5.2","-6.065","-4.356","0.11","0.07093","0.15271","0.0022","0.29","0.25","2.3","0.00053","0.66"
"MANI","1_nSPC","-5.8","-6.693","-5.003","0.35","0.2066","0.5297","0.1479","0.15","2.37","2.4","0.35057","0.35"
"MANI","2_TOW","-5.8","-6.693","-5.003","0.35","0.2066","0.5297","0.0016","0.36","0.42","1.2","0.00068","0.43"
"NAAN","1_nSPC","-3.2","-5.2947","-0.8759","0.2","0.01485","0.80240","0.00607","0.0061","6.92","6.9","0.04206","0.042"
"NAAN","2_TOW","-3.2","-5.2947","-0.8759","0.2","0.01485","0.80240","0.00053","0.0124","0.35","1.7","0.00019","0.021"
"NABH","1_nSPC","-3.3","-4.693","-1.829","0.063","0.02899","0.12162","0.01191","0.0119","5.70","5.7","0.06782","0.068"
"NABH","2_TOW","-3.3","-4.693","-1.829","0.063","0.02899","0.12162","0.00013","0.0035","0.39","6.2","0.00005","0.022"
"NABR","1_nSPC","-7.2","-9.462","-4.941","0.44","0.1726","0.9160","0.13627","0.14","1.66","1.7","0.22676","0.23"
"NABR","2_TOW","-7.2","-9.462","-4.941","0.44","0.1726","0.9160","0.00022","0.22","0.51","1.2","0.00011","0.26"
"NAHE","1_nSPC","-4.3","-4.907","-3.696","0.24","0.1551","0.3392","0.111","0.11","4.75","4.8","0.5263","0.53"
"NAHE","2_TOW","-4.3","-4.907","-3.696","0.24","0.1551","0.3392","0.005","0.27","0.77","3.2","0.0039","0.87"
"NASP","1_nSPC","-0.93","-2.6497"," 0.9242","182"," 28.48","593.11","0.03031","0.0303","0.22","0.2161","0.00655","6.6e-03"
"NASP","2_TOW","-0.93","-2.6497"," 0.9242","182"," 28.48","593.11","0.00072","0.0018","0.81","0.0044","0.00058","8.1e-06"
"NATO","1_nSPC","-4","-4.916","-3.152","0.048","0.03025","0.07211","0.03391","0.034","18.91","19","0.64127","0.64"
"NATO","2_TOW","-4","-4.916","-3.152","0.048","0.03025","0.07211","0.00059","0.032"," 0.78","16","0.00046","0.51"
"NAUN","1_nSPC","-4.4","-5.672","-3.204","0.27","0.1098","0.5617","0.06839","0.068","2.92","2.9","2.0e-01","0.20"
"NAUN","2_TOW","-4.4","-5.672","-3.204","0.27","0.1098","0.5617","0.00014","0.012","0.46","1.7","6.4e-05","0.02"
"NAVL","1_nSPC","-6.6","-7.955","-5.229","0.26","0.09851","0.52833","0.16360","0.16","2.41","2.4","0.39376","0.39"
"NAVL","2_TOW","-6.6","-7.955","-5.229","0.26","0.09851","0.52833","0.00032","0.19","0.48","1.9","0.00015","0.36"
"NEFE","1_nSPC","-1.4","-3.963"," 1.080","0.031","0.009995","0.074129","0.00177","0.0018","85","85","0.1510","0.15"
"NEFE","2_TOW","-1.4","-3.963"," 1.080","0.031","0.009995","0.074129","0.00062","0.0026"," 3","97","0.0018","0.25"
"PLGI","1_nSPC","-2.8","-5.4415","-0.1014","0.075","0.01676","0.21234","0.00194","0.0019","6.4"," 6.4","0.01240","0.012"
"PLGI","2_TOW","-2.8","-5.4415","-0.1014","0.075","0.01676","0.21234","0.00031","0.0049","1.1","14.9","0.00035","0.072"
"PLLV","1_nSPC","-3.8","-4.853","-2.813","0.26","0.1451","0.4389","0.02108","0.021","6.38","6.4","0.13451","0.13"
"PLLV","2_TOW","-3.8","-4.853","-2.813","0.26","0.1451","0.4389","0.00077","0.033","0.47","1.8","0.00036","0.06"
"PLPI","1_nSPC","-2.3","-3.633","-1.037","0.07","0.04097","0.11117","0.00731","0.0073","3.26","3.3","0.02380","0.024"
"PLPI","2_TOW","-2.3","-3.633","-1.037","0.07","0.04097","0.11117","0.00063","0.0065","0.18","2.6","0.00011","0.017"
"PLVI","1_nSPC","-6.5","-9.122","-3.968","0.45","0.1088","1.3254","0.0365","0.036","1.45","1.45","5.3e-02","0.053"
"PLVI","2_TOW","-6.5","-9.122","-3.968","0.45","0.1088","1.3254","0.0003","0.163","0.27","0.61","8.2e-05","0.100"
"PSFL","1_nSPC","-5.2","-7.038","-3.341","0.2","0.09948","0.35108","0.13175","0.132","3.10","3.1","0.40824","0.41"
