"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CEAR","1_nSPC","Global",3.62,0.19,0.5,0.5,0,0,0,0
"CEAR","2_TOW","Global",3.62,0.19,0,0.13,0,0,0,0
"CEFI","1_nSPC","Global",3.62,0.19,0.09,0.09,0.01,0.01,0,0
"CELO","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"CEPO","1_nSPC","Global",3.62,0.19,0.33,0.33,0,0,0,0
"CHAC","1_nSPC","Global",3.62,0.19,0.01,0.01,0.04,0.04,0,0
"CHAG","1_nSPC","Global",3.62,0.19,0.28,0.28,0.05,0.05,0.01,0.01
"CHAU","1_nSPC","Global",3.62,0.19,0.15,0.15,0,0,0,0
"CHCH","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"CHCH","2_TOW","Global",3.62,0.19,0,0.14,0,0.01,0,0
"CHCI","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CHEP","1_nSPC","Global",3.62,0.19,0.03,0.03,0,0,0,0
"CHFR","1_nSPC","Global",3.62,0.19,0.12,0.12,0,0,0,0
"CHHA","1_nSPC","Global",3.62,0.19,0.36,0.36,0.01,0.01,0,0
"CHIN","1_nSPC","Global",3.62,0.19,0.02,0.02,0,0,0,0
"CHIN","2_TOW","Global",3.62,0.19,0,0,0,0,0,0
"CHKL","1_nSPC","Global",3.62,0.19,0.22,0.22,0.01,0.01,0,0
"CHLC","1_nSPC","Global",3.62,0.19,0.01,0.01,0.01,0.01,0,0
"CHLI","1_nSPC","Global",3.62,0.19,0.01,0.01,0,0,0,0
"CHLT","1_nSPC","Global",3.62,0.19,0.05,0.05,0,0,0,0
"CHLU","1_nSPC","Global",3.62,0.19,0.28,0.28,0,0,0,0
"CHME","1_nSPC","Global",3.62,0.19,0,0,0,0,0,0
"CHMI","1_nSPC","Global",3.62,0.19,0.19,0.19,0.01,0.01,0,0
"CHMU","1_nSPC","Global",3.62,0.19,0.55,0.55,0.01,0.01,0,0
"CHOR","1_nSPC","Global",3.62,0.19,0.42,0.42,0,0,0,0
