"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"SPBA","1_nSPC","0.3","-0.9376"," 1.5011","0.7","0.3362","1.2576","0.011","0.0108","0.0022","0.0022","2.4e-05","2.4e-05"
"SPBA","2_BLT","0.3","-0.9376"," 1.5011","0.7","0.3362","1.2576","0.005","0.0037","0.0017","0.0024","8.3e-06","8.8e-06"
"STBA","1_nSPC","-0.65","-0.9130","-0.3501","2.9","2.450","3.344","0.63","0.63","0.0068","0.0068","0.0043","0.0043"
"STBA","2_BLT","-0.65","-0.9130","-0.3501","2.9","2.450","3.344","0.54","0.69","0.0222","0.0077","0.0120","0.0054"
"STMA","1_nSPC","0.92","0.5960","1.2132","3.4","2.850","4.057","0.40","0.40","0.010","0.01","0.004","0.0040"
"STMA","2_BLT","0.92","0.5960","1.2132","3.4","2.850","4.057","0.53","0.31","0.035","0.01","0.018","0.0031"
"SUBU","1_nSPC","-0.77","-1.1144","-0.4527","2.4","2.170","2.683","0.70","0.70","0.0047","0.0047","0.0033","0.0033"
"SUBU","2_BLT","-0.77","-1.1144","-0.4527","2.4","2.170","2.683","0.66","0.81","0.0137","0.0057","0.0090","0.0046"
"SUFR","1_nSPC","-0.37","-0.65317","-0.07155","1.8","1.555","2.015","0.44","0.44","0.0024","0.0024","0.0011","0.0011"
"SUFR","2_BLT","-0.37","-0.65317","-0.07155","1.8","1.555","2.015","0.32","0.41","0.0053","0.0030","0.0017","0.0012"
"THBA","1_nSPC","0.12","-0.3914"," 0.5964","2.2","1.606","2.954","0.059","0.059","0.0027","0.0027","0.00016","0.00016"
"THBA","2_BLT","0.12","-0.3914"," 0.5964","2.2","1.606","2.954","0.074","0.066","0.0073","0.0033","0.00054","0.00022"
"THDU","1_nSPC","0.29","-0.3974"," 0.9772","3.9","3.477","4.403","0.94","0.94","0.026","0.026","0.025","0.025"
"THDU","2_BLT","0.29","-0.3974"," 0.9772","3.9","3.477","4.403","0.98","0.97","0.134","0.034","0.131","0.033"
