"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"PESP","1741","1440","301","49","46","3"
"PLEW","1741","1440","301","267","208","59"
"PLGO","1741","1440","301","382","240","142"
"PLIM","1741","1440","301","606","473","133"
"PLJO","1741","1440","301","1057","858","199"
"PLSI","1741","1440","301","37","29","8"
"PRKA","1741","1440","301","138","94","44"
"PRME","1741","1440","301","14","7","7"
"PSBI","1741","1440","301","55","48","7"
"PSCE","1741","1440","301","395","328","67"
"PSEV","1741","1440","301","532","444","88"
"PSOC","1741","1440","301","510","406","104"
"PSTE","1741","1440","301","557","418","139"
"PTHE","1741","1440","301","84","67","17"
"PTSP","1741","1440","301","4","2","2"
"RHAC","1741","1440","301","28","24","4"
"RHRE","1741","1440","301","485","442","43"
"SADI","1741","1440","301","45","41","4"
"SAFL","1741","1440","301","2","1","1"
"SAPP","1741","1440","301","19","18","1"
"SASP","1741","1440","301","39","30","9"
"SATI","1741","1440","301","83","60","23"
"SAXA","1741","1440","301","33","23","10"
"SCCA","1741","1440","301","9","7","2"
"SCDI","1741","1440","301","11","9","2"
"SCDU","1741","1440","301","140","128","12"
"SCLY","1741","1440","301","45","41","4"
"SCPP","1741","1440","301","7","6","1"
"SCPS","1741","1440","301","543","469","74"
"SCRU","1741","1440","301","666","522","144"
"SCSP","1741","1440","301","47","9","38"
"SECO","1741","1440","301","31","18","13"
"SEDU","1741","1440","301","31","29","2"
"SNDP","1741","1440","301","4","3","1"
"SPBA","1741","1440","301","15","11","4"
"SPDE","1741","1440","301","2","1","1"
"STBA","1741","1440","301","1126","963","163"
"STMA","1741","1440","301","800","612","188"
"SUBU","1741","1440","301","1237","1038","199"
"SUFR","1741","1440","301","720","616","104"
"SYBI","1741","1440","301","6","1","5"
"SYVA","1741","1440","301","5","3","2"
"TATR","1741","1440","301","5","3","2"
"THBA","1741","1440","301","115","92","23"
"THDU","1741","1440","301","1648","1357","291"
"THLU","1741","1440","301","9","7","2"
"THPU","1741","1440","301","78","69","9"
"THQU","1741","1440","301","20","17","3"
"THTR","1741","1440","301","162","140","22"
"TROB","1741","1440","301","16","15","1"
"WRAS","1741","1440","301","24","20","4"
"XAAU","1741","1440","301","87","76","11"
"ZACO","1741","1440","301","631","573","58"
"ZEFL","1741","1440","301","690","581","109"
"ZEVE","1741","1440","301","97","83","14"
