"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"COAY","1_nSPC","-7.5","-8.552","-6.554","0.19","0.1030","0.3215","0.4027","0.40","0.00309","0.0031","1.2e-03","0.0012"
"COAY","2_TOW","-7.5","-8.552","-6.554","0.19","0.1030","0.3215","0.0019","0.79","0.00048","0.0025","9.4e-07","0.0020"
"DIHY","1_nSPC","0.95","-0.06921"," 1.93921","0.27","0.1983","0.3590","0.0034","0.0034","0.00189","0.0019","6.5e-06","6.5e-06"
"DIHY","2_TOW","0.95","-0.06921"," 1.93921","0.27","0.1983","0.3590","0.0095","0.0037","0.00054","0.0020","5.1e-06","7.3e-06"
"ELBI","1_nSPC","-1.3","-1.7847","-0.9121","0.1","0.05457","0.17166","0.048","0.048","0.0387","0.039","0.00184","0.0018"
"ELBI","2_TOW","-1.3","-1.7847","-0.9121","0.1","0.05457","0.17166","0.055","0.178","0.0027","0.027","0.00015","0.0047"
"FICO","1_nSPC","-0.85","-1.3803","-0.3456","0.31","0.2021","0.4495","0.024","0.024","0.00246","0.0025","5.8e-05","5.8e-05"
"FICO","2_TOW","-0.85","-1.3803","-0.3456","0.31","0.2021","0.4495","0.010","0.024","0.00094","0.0031","9.6e-06","7.2e-05"
"GROU","1_nSPC","-2.7","-4.4092","-0.9261","0.18","0.1808","0.1808","9.1e-03","0.00908","0.00384","0.0038","3.5e-05","3.5e-05"
"GROU","2_TOW","-2.7","-4.4092","-0.9261","0.18","0.1808","0.1808","4.3e-05","0.00066","0.00052","0.0029","2.2e-08","1.9e-06"
"HILO","1_nSPC","-2.5","-3.014","-1.940","0.25","0.1670","0.3494","0.0135","0.014","0.0027","0.0027","3.6e-05","3.6e-05"
"HILO","2_TOW","-2.5","-3.014","-1.940","0.25","0.1670","0.3494","0.0035","0.040","0.0006","0.0024","2.1e-06","9.7e-05"
"KYPA","1_nSPC","-4.9","-6.927","-2.740","0.34","0.006178","1.717466","3e-02","0.030","0.02776","0.0278","8.4e-04","0.00084"
"KYPA","2_TOW","-4.9","-6.927","-2.740","0.34","0.006178","1.717466","3e-04","0.039","0.00094","0.0028","2.9e-07","0.00011"
"LEOL","1_nSPC","-2.8","-3.530","-2.073","0.22","0.1032","0.3899","0.0166","0.017","0.00240","0.0024","4e-05","4e-05"
"LEOL","2_TOW","-2.8","-3.530","-2.073","0.22","0.1032","0.3899","0.0017","0.028","0.00047","0.0022","8e-07","6e-05"
"LETH","1_nSPC","-5","-6.545","-3.618","0.58","0.07497","1.90086","0.0286","0.029","0.00338","0.0034","9.7e-05","9.7e-05"
"LETH","2_TOW","-5","-6.545","-3.618","0.58","0.07497","1.90086","0.0013","0.167","0.00067","0.0012","8.6e-07","1.9e-04"
"LUBO","1_nSPC","-2.7","-2.864","-2.455","0.18","0.1660","0.1909","0.59","0.59","4e-03","0.0040","0.00236","0.0024"
"LUBO","2_TOW","-2.7","-2.864","-2.455","0.18","0.1660","0.1909","0.18","0.76","8e-04","0.0045","0.00015","0.0034"
"LUMO","1_nSPC","-4.4","-5.176","-3.526","0.29","0.1595","0.4840","0.05818","0.058","0.00261","0.0026","1.5e-04","1.5e-04"
"LUMO","2_TOW","-4.4","-5.176","-3.526","0.29","0.1595","0.4840","0.00031","0.024","0.00062","0.0021","1.9e-07","5.1e-05"
"MACO","1_nSPC","0.48","-1.836"," 2.675","227141","6.417e-01","5.182e+05","0.00019","0.00019","0.0014","1.4e-03","2.7e-07","2.7e-07"
"MACO","2_TOW","0.48","-1.836"," 2.675","227141","6.417e-01","5.182e+05","0.00291","0.00180","0.0012","5.1e-09","3.4e-06","9.3e-12"
"MAMA","1_nSPC","-2.3","-2.566","-2.058","0.29","0.2413","0.3472","0.192","0.19","0.0036","0.0036","6.9e-04","0.00069"
"MAMA","2_TOW","-2.3","-2.566","-2.058","0.29","0.2413","0.3472","0.032","0.25","0.0009","0.0031","2.9e-05","0.00077"
"MANI","1_nSPC","-3.1","-3.336","-2.830","0.45","0.3649","0.5501","0.25","0.25","0.0047","0.0047","0.00114","0.0011"
