"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"DRAG","2042","1707","335","7","5","2"
"ECMI","2053","1713","340","12","6","6"
"ECNA","2048","1713","335","7","6","1"
"ECNE","2045","1710","335","4","3","1"
"ELBI","2410","2046","364","368","339","29"
"ENPA","2049","1714","335","8","7","1"
"EPFA","2441","2014","427","399","307","92"
"EPHE","2136","1784","352","103","84","19"
"EPHO","2110","1761","349","68","54","14"
"EPIN","2799","2334","465","757","627","130"
"EPMC","2141","1797","344","99","90","9"
"EPME","2107","1746","361","65","39","26"
"EPML","2240","1871","369","198","164","34"
"EPPO","2194","1838","356","152","131","21"
"EPRE","2172","1825","347","130","118","12"
"EPSL","2176","1822","354","134","115","19"
"EPSP","2233","1830","403","191","123","68"
"EPTA","2189","1838","351","147","131","16"
"EXBR","2059","1724","335","18","17","1"
"FICO","2120","1776","344","78","69","9"
"FILE","2052","1707","345","15","1","14"
"FISH","2054","1711","343","13","4","9"
"FOFL","2558","2158","400","561","489","72"
"FOLO","2113","1778","335","77","71","6"
"FUSI","2047","1707","340","13","8","5"
"GNAU","2109","1759","350","67","52","15"
"GOAT","2082","1709","373","40","2","38"
"GOBI","2072","1737","335","47","30","17"
"GOVA","4640","3882","758","2695","2252","443"
"GRAL","2396","2008","388","354","301","53"
"GROU","2087","1717","370","45","10","35"
"GYBR","2212","1863","349","170","156","14"
"GYFL","2139","1792","347","97","85","12"
"GYJA","2124","1763","361","82","56","26"
"GYME","2087","1747","340","45","40","5"
"HABI","2091","1756","335","53","51","2"
"HAHO","3276","2817","459","1240","1116","124"
"HAME","2192","1832","360","183","155","28"
"HAMT","2177","1842","335","151","143","8"
"HAOR","3196","2610","586","1336","1085","251"
"HASP","2042","1707","335","28","25","3"
"HATR","2055","1720","335","17","16","1"
"HAWK","2075","1707","368","61","4","57"
"HECA","2051","1716","335","10","9","1"
"HEFA","3122","2683","439","1080","976","104"
"HEMO","2042","1707","335","3","2","1"
"HETH","2171","1818","353","151","133","18"
"HEVA","2047","1712","335","6","5","1"
"HILO","2084","1739","345","42","32","10"
"HOAN","2042","1707","335","3","2","1"
"KAPE","2042","1707","335","5","4","1"
"KYCI","2091","1732","359","49","25","24"
"KYPA","2098","1713","385","56","6","50"
"LABI","2688","2241","447","686","560","126"
"LADI","3299","2738","561","1325","1077","248"
"LAPE","2042","1707","335","6","5","1"
"LAPH","2060","1707","353","51","31","20"
"LARU","3222","2717","505","1188","1010","178"
"LAUN","2076","1734","342","42","33","9"
"LAXA","2116","1760","356","76","55","21"
"LEOB","2094","1756","338","52","49","3"
"LEOL","2144","1806","338","102","99","3"
"LETA","2042","1707","335","489","410","79"
"LETH","2121","1786","335","80","79","1"
"LEXA","2216","1869","347","174","162","12"
"LIZA","2064","1717","347","23","10","13"
"LUBO","4614","3766","848","2573","2059","514"
"LUFU","2337","1960","377","297","253","44"
"LUGI","2761","2303","458","719","596","123"
"LUKA","2163","1797","366","121","90","31"
"LUMO","2356","1972","384","314","265","49"
"LUSE","2076","1738","338","34","31","3"
"LUWH","2042","1707","335","409","343","66"
"MAGE","2042","1707","335","8","6","2"
"MALA","2048","1713","335","8","6","2"
"MAME","2395","2027","368","400","366","34"
"MANI","2062","1727","335","21","20","1"
"MENI","3415","2977","438","1373","1270","103"
"MEVI","3738","3245","493","1706","1548","158"
"MOGR","2807","2352","455","765","645","120"
"MOSP","2155","1814","341","113","107","6"
"MUFL","2132","1767","365","91","60","31"
"MUMI","2072","1721","351","30","14","16"
"MUVA","2191","1827","364","149","120","29"
"MYAD","2090","1747","343","58","50","8"
"MYAM","2369","1998","371","327","291","36"
"MYBE","2857","2379","478","817","674","143"
"MYKU","2185","1835","350","143","128","15"
"MYSP","2198","1830","368","156","123","33"
"MYWO","2063","1721","342","26","16","10"
"NAAN","2069","1734","335","28","27","1"
"NABR","2285","1927","358","243","220","23"
"NACA","2048","1707","341","8","2","6"
"NAHE","2731","2356","375","689","649","40"
"NALI","3216","2644","572","1174","937","237"
"NASP","2042","1707","335","3","2","1"
"NAUN","2170","1816","354","128","109","19"
"NAVL","2419","2050","369","377","343","34"
"NEAR","2042","1707","335","111","83","28"
"NEED","2050","1713","337","9","6","3"
"NEMA","2042","1707","335","56","44","12"
"NEOP","2060","1721","339","18","14","4"
"NESA","2085","1737","348","43","30","13"
"NESP","2042","1707","335","6","5","1"
"NOTA","2127","1792","335","93","85","8"
"ODNI","2223","1876","347","181","169","12"
"OPPU","2047","1712","335","6","5","1"
"OSAN","2051","1707","344","56","45","11"
"OSAP","2054","1707","347","104","91","13"
"OSCU","2048","1711","337","6","4","2"
"OSME","2213","1855","358","178","148","30"
"OSWH","2069","1728","341","29","23","6"
"OXDI","2167","1812","355","125","105","20"
"OXUN","2980","2493","487","938","786","152"
"PAAR","3238","2695","543","1337","1085","252"
"PABA","2121","1776","345","80","69","11"
"PACY","2433","2058","375","391","351","40"
"PAFO","3103","2496","607","1407","1133","274"
"PAHE","3186","2692","494","1146","987","159"
"PAHP","2060","1723","337","18","16","2"
"PAIN","3425","2890","535","1384","1183","201"
"PAMT","2042","1707","335","4","3","1"
"PAMU","3460","2935","525","1422","1232","190"
"PAPL","2079","1744","335","39","37","2"
"PARR","2309","1870","439","267","163","104"
"PAXA","2076","1732","344","36","26","10"
"PEAS","2121","1772","349","86","69","17"
"PEMA","2042","1707","335","53","46","7"
"PEOU","2303","1942","361","261","235","26"
"PLDI","3438","2895","543","1404","1190","214"
"PLIM","2042","1707","335","250","242","8"
"PLJO","2280","1707","573","1335","1086","249"
"PLLA","2068","1707","361","70","42","28"
"PLPH","2042","1707","335","241","237","4"
"PLRH","2042","1707","335","67","45","22"
"PLTA","2071","1707","364","140","111","29"
"POCO","2042","1707","335","232","172","60"
"POIM","2739","2328","411","697","621","76"
"POPU","2054","1719","335","18","16","2"
"PSAT","2082","1747","335","45","40","5"
"PSBA","2618","2283","335","686","576","110"
"PSDI","2042","1707","335","51","34","17"
"PSEV","2042","1707","335","51","46","5"
"PSFL","2213","1864","349","171","157","14"
"PSHE","2252","1707","545","846","633","213"
"PSHT","2107","1772","335","74","72","2"
"PSMO","2340","1983","357","298","276","22"
"PSOC","3170","2619","551","1168","932","236"
"PSOL","2814","2374","440","775","669","106"
"PSPA","2185","1850","335","163","148","15"
"PSPY","2046","1711","335","5","4","1"
"PSSP","2044","1707","337","4","2","2"
"PSTE","2042","1707","335","261","227","34"
"PSYA","2050","1715","335","10","8","2"
"PTAN","2055","1720","335","14","13","1"
"PTEV","2085","1750","335","53","45","8"
"PTHE","2042","1707","335","5","4","1"
"PTMA","2066","1726","340","27","21","6"
"PTTI","2213","1868","345","172","161","11"
"PUFF","2049","1707","342","8","1","7"
"PYDI","2173","1826","347","131","119","12"
"RHAC","2094","1755","339","52","48","4"
"RHRE","2239","1902","337","197","195","2"
"SACA","2332","1951","381","291","244","47"
"SADI","2042","1707","335","7","6","1"
"SAMI","2052","1717","335","11","10","1"
"SAPP","2042","1707","335","13","12","1"
"SASP","2306","1910","396","264","203","61"
"SATI","3009","2515","494","967","808","159"
"SCAL","2107","1767","340","65","60","5"
"SCDU","2062","1723","339","20","16","4"
"SCFO","2643","2221","422","601","514","87"
"SCFR","3287","2734","553","1245","1027","218"
"SCGH","2138","1797","341","96","90","6"
"SCGL","2126","1780","346","84","73","11"
"SCLY","2155","1812","343","113","105","8"
"SCNI","2088","1751","337","46","44","2"
"SCOV","2353","1966","387","311","259","52"
"SCPP","2054","1719","335","13","12","1"
"SCPS","2408","1987","421","366","280","86"
"SCRU","3348","2867","481","1306","1160","146"
"SCSI","2104","1767","337","62","60","2"
"SCSP","2126","1728","398","84","21","63"
"SCTR","2891","2444","447","849","737","112"
"SECR","2042","1707","335","1","0","1"
"SECY","2042","1707","335","42","38","4"
