"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"PAPL","2872","2133","739","799","625","174"
"PAPO","2154","1559","595","81","51","30"
"PARR","2618","2006","612","545","498","47"
"PASC","2114","1546","568","46","42","4"
"PEAS","2154","1589","565","84","81","3"
"PESP","2443","1818","625","397","331","66"
"PLAR","2114","1538","576","41","30","11"
"PLEW","2235","1640","595","164","133","31"
"PLGO","2140","1508","632","193","123","70"
"PLIM","2123","1508","615","247","196","51"
"PLJO","3164","2279","885","1094","771","323"
"PRKA","2131","1539","592","62","32","30"
"PRME","2175","1536","639","102","28","74"
"PSCE","2281","1698","583","239","219","20"
"PSDE","2086","1516","570","13","8","5"
"PSEV","2411","1790","621","341","282","59"
"PSOC","2551","1863","688","522","375","147"
"PSTE","2121","1508","613","164","116","48"
"PSTH","2131","1562","569","73","68","5"
"PTHE","2109","1540","569","37","32","5"
"PTSP","2110","1536","574","37","28","9"
"RHRE","2186","1585","601","116","79","37"
"SADI","2253","1667","586","189","165","24"
"SAGR","2073","1508","565","3","2","1"
"SAPP","2104","1535","569","34","29","5"
"SASP","2250","1649","601","177","141","36"
"SATI","2076","1510","566","3","2","1"
"SAXA","2210","1583","627","148","79","69"
"SCDU","4067","2926","1141","2008","1420","588"
"SCLY","2095","1530","565","23","22","1"
"SCPP","2073","1508","565","7","2","5"
"SCPS","2833","2038","795","760","530","230"
"SCRU","2247","1662","585","174","154","20"
"SCSP","2458","1588","870","403","97","306"
"SEBA","2073","1508","565","9","8","1"
"SECO","2073","1508","565","42","38","4"
"SEDU","2128","1558","570","55","50","5"
"SOLD","2073","1508","565","2","1","1"
"SPBA","2092","1526","566","19","18","1"
"SPDE","2073","1508","565","32","25","7"
"STBA","3425","2430","995","1958","1301","657"
"STMA","3613","2554","1059","1847","1172","675"
"SUBU","2668","2031","637","597","525","72"
"SUFR","2385","1795","590","312","287","25"
"SURG","2073","1508","565","13","11","2"
"SYBI","2125","1560","565","53","52","1"
"SYUL","2093","1528","565","23","21","2"
"SYVA","2111","1535","576","38","27","11"
"THBA","4753","3222","1531","2715","1746","969"
"THDU","5899","4250","1649","3877","2758","1119"
"THLU","2101","1532","569","28","24","4"
"THPU","2557","1872","685","487","367","120"
"THQU","2095","1527","568","22","19","3"
"THTR","2268","1624","644","196","116","80"
"TROB","2403","1799","604","330","291","39"
"TYCR","2081","1508","573","15","6","9"
"WRAS","2106","1508","598","45","12","33"
"XAAU","2077","1512","565","6","4","2"
"XAME","2143","1572","571","71","64","7"
"ZACO","3187","2423","764","1135","915","220"
"ZEFL","2712","1957","755","639","449","190"
"ZEVE","2662","1962","700","589","454","135"
