"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"OSMA","1_nSPC","0.64","-0.5021"," 1.8943","9.9"," 0.01936","48.36215","0.0053","0.0053","0.0082","0.00821","4.4e-05","4.4e-05"
"OSMA","2_BLT","0.64","-0.5021"," 1.8943","9.9"," 0.01936","48.36215","0.0083","0.0044","0.0091","0.00092","7.6e-05","4.0e-06"
"OSME","1_nSPC","0.36","-0.1351"," 0.8466","2.5","1.975","3.055","0.067","0.067","0.0023","0.0023","0.00015","1.5e-04"
"OSME","2_BLT","0.36","-0.1351"," 0.8466","2.5","1.975","3.055","0.048","0.034","0.0046","0.0019","0.00022","6.3e-05"
"OXBI","1_nSPC","-0.61","-0.8871","-0.3166","1.3","0.9736","1.6512","0.31","0.31","0.018","0.018","0.0057","0.0057"
"OXBI","2_BLT","-0.61","-0.8871","-0.3166","1.3","0.9736","1.6512","0.24","0.36","0.041","0.032","0.0098","0.0116"
"OXUN","1_nSPC","-0.12","-0.4053"," 0.1520","2.4","2.119","2.712","0.33","0.33","0.0039","0.0039","0.0013","0.0013"
"OXUN","2_BLT","-0.12","-0.4053"," 0.1520","2.4","2.119","2.712","0.31","0.33","0.0090","0.0037","0.0028","0.0012"
"PAAR","1_nSPC","0.14","-0.1151"," 0.4208","2.5","2.123","2.981","0.43","0.43","0.010","0.010","0.0045","0.0045"
"PAAR","2_BLT","0.14","-0.1151"," 0.4208","2.5","2.123","2.981","0.44","0.41","0.028","0.011","0.0122","0.0044"
"PACY","1_nSPC","-0.51","-0.8083","-0.1905","1.9","1.594","2.178","0.28","0.28","0.0038","0.0038","0.0010","0.0010"
"PACY","2_BLT","-0.51","-0.8083","-0.1905","1.9","1.594","2.178","0.21","0.30","0.0066","0.0035","0.0014","0.0011"
