"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ANMG","1_nSPC","Global",0,1.9,0.04,0.04,0,0,0,0
"ANMG","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"ANSP","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"ANSP","2_BLT","Global",0,1.9,0,0,0,0,0,0
"ANTH","1_nSPC","Global",0,1.9,0.01,0.01,0.03,0.03,0,0
"ANTH","2_BLT","Global",0,1.9,0.01,0.01,0.4,0.21,0,0
"ANTW","1_nSPC","Global",0,1.9,0.09,0.09,0,0,0,0
"ANTW","2_BLT","Global",0,1.9,0.05,0.05,0.01,0.01,0,0
"APFU","1_nSPC","Global",0,1.9,0.49,0.49,0,0,0,0
"APFU","2_BLT","Global",0,1.9,0.31,0.31,0.01,0,0,0
"APSP","1_nSPC","Global",0,1.9,0.01,0.01,0.02,0.02,0,0
"APSP","2_BLT","Global",0,1.9,0.06,0.06,0.01,0,0,0
"APTR","1_nSPC","Global",0,1.9,0.27,0.27,0,0,0,0
"APTR","2_BLT","Global",0,1.9,0.08,0.08,0.01,0,0,0
"APVI","1_nSPC","Global",0,1.9,0.06,0.06,0,0,0,0
"APVI","2_BLT","Global",0,1.9,0.03,0.03,0,0,0,0
"ARBI","1_nSPC","Global",0,1.9,0,0,1.13,1.13,0,0
"ARHI","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"ARHI","2_BLT","Global",0,1.9,0.02,0.02,0.01,0,0,0
"ARME","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"ARME","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"ARNI","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"ARNI","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"ARST","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"ASTA","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"ASTA","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"AUCH","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"AUCH","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"BACO","1_nSPC","Global",0,1.9,0.03,0.03,0,0,0,0
"BACO","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"BASP","2_BLT","Global",0,1.9,0.01,0.01,0.01,0.01,0,0
"BAUN","1_nSPC","Global",0,1.9,0.71,0.71,0,0,0,0
"BAUN","2_BLT","Global",0,1.9,0.32,0.32,0.01,0,0,0
"BAVI","1_nSPC","Global",0,1.9,0.04,0.04,0,0,0,0
"BAVI","2_BLT","Global",0,1.9,0.01,0.01,0.02,0.01,0,0
"BECH","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"BIGE","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"BIGE","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"BLCH","1_nSPC","Global",0,1.9,0.01,0.01,0.01,0.01,0,0
"BLCH","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"BLEN","1_nSPC","Global",0,1.9,0.22,0.22,0.01,0.01,0,0
"BLEN","2_BLT","Global",0,1.9,0.02,0.02,0.01,0,0,0
"BOAN","1_nSPC","Global",0,1.9,0.05,0.05,0,0,0,0
"BOAN","2_BLT","Global",0,1.9,0,0,0.01,0,0,0
"BOAX","1_nSPC","Global",0,1.9,0.15,0.15,0,0,0,0
"BOAX","2_BLT","Global",0,1.9,0.12,0.12,0.01,0,0,0
"BOBI","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"BOLO","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"BOMA","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"BOTH","2_BLT","Global",0,1.9,0,0,0,0,0,0
"BUTT","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"BUTT","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CAAB","1_nSPC","Global",0,1.9,0.08,0.08,0,0,0,0
"CAAB","2_BLT","Global",0,1.9,0.08,0.08,0,0,0,0
"CAAM","1_nSPC","Global",0,1.9,0.05,0.05,0,0,0,0
"CAAM","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CABE","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"CABE","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CACA","1_nSPC","Global",0,1.9,0.15,0.15,0,0,0,0
"CACA","2_BLT","Global",0,1.9,0.08,0.08,0,0,0,0
"CACE","1_nSPC","Global",0,1.9,0,0,0.02,0.02,0,0
"CACE","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CACO","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"CACO","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CADU","1_nSPC","Global",0,1.9,0.16,0.16,0,0,0,0
"CADU","2_BLT","Global",0,1.9,0.06,0.06,0,0,0,0
"CAEP","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CAFE","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"CAFE","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CAGA","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"CAIG","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"CAIG","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CAJA","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CAJN","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"CAJN","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CALN","1_nSPC","Global",0,1.9,0,0,0.11,0.11,0,0
"CALU","1_nSPC","Global",0,1.9,0.1,0.1,0.01,0.01,0,0
"CALU","2_BLT","Global",0,1.9,0.2,0.2,0.01,0.01,0,0
"CAMC","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CAMC","2_BLT","Global",0,1.9,0.08,0.08,0.01,0,0,0
"CAME","1_nSPC","Global",0,1.9,0.43,0.43,0,0,0,0
"CAME","2_BLT","Global",0,1.9,0.27,0.27,0.01,0,0,0
"CAML","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"CAML","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CAOR","1_nSPC","Global",0,1.9,0.08,0.08,0,0,0,0
"CAOR","2_BLT","Global",0,1.9,0.15,0.15,0.04,0.02,0.01,0
"CAPA","1_nSPC","Global",0,1.9,0.17,0.17,0,0,0,0
"CAPA","2_BLT","Global",0,1.9,0.12,0.12,0.01,0,0,0
"CAPP","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CARD","1_nSPC","Global",0,1.9,0.05,0.05,0.01,0.01,0,0
"CARD","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CASE","1_nSPC","Global",0,1.9,0.03,0.03,0.11,0.11,0,0
"CASE","2_BLT","Global",0,1.9,0.03,0.03,0.08,0.04,0,0
"CASO","1_nSPC","Global",0,1.9,0.14,0.14,0,0,0,0
"CASO","2_BLT","Global",0,1.9,0.08,0.08,0.01,0,0,0
"CASP","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CASP","2_BLT","Global",0,1.9,0.01,0.01,0.03,0.01,0,0
"CATE","1_nSPC","Global",0,1.9,0.13,0.13,0.05,0.05,0.01,0.01
"CATE","2_BLT","Global",0,1.9,0.06,0.06,0.1,0.05,0.01,0
"CAVA","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"CAVA","2_BLT","Global",0,1.9,0.01,0.01,0.01,0,0,0
"CEAR","1_nSPC","Global",0,1.9,0.58,0.58,0,0,0,0
"CEAR","2_BLT","Global",0,1.9,0.3,0.3,0,0,0,0
"CEBI","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CEBI","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CEFI","1_nSPC","Global",0,1.9,0,0,0.01,0.01,0,0
"CEFI","2_BLT","Global",0,1.9,0.01,0.01,0.01,0,0,0
"CEFL","1_nSPC","Global",0,1.9,0.74,0.74,0.01,0.01,0.01,0.01
"CEFL","2_BLT","Global",0,1.9,0.59,0.59,0.02,0.01,0.01,0.01
"CEFV","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CEHE","1_nSPC","Global",0,1.9,0.21,0.21,0.01,0.01,0,0
"CEHE","2_BLT","Global",0,1.9,0.13,0.13,0.01,0,0,0
"CELE","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"CELE","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CELO","1_nSPC","Global",0,1.9,0.01,0.01,0.01,0.01,0,0
"CELO","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CEMI","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CEMI","2_BLT","Global",0,1.9,0.01,0.01,0,0,0,0
"CEOC","1_nSPC","Global",0,1.9,0.01,0.01,0,0,0,0
"CEOC","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CESH","1_nSPC","Global",0,1.9,0.47,0.47,0.04,0.04,0.02,0.02
"CESH","2_BLT","Global",0,1.9,0.48,0.48,0.03,0.02,0.02,0.01
"CESO","1_nSPC","Global",0,1.9,0.02,0.02,0,0,0,0
"CESO","2_BLT","Global",0,1.9,0,0,0,0,0,0
"CESP","1_nSPC","Global",0,1.9,0.03,0.03,0.01,0.01,0,0
"CESX","1_nSPC","Global",0,1.9,0.03,0.03,0,0,0,0
"CESX","2_BLT","Global",0,1.9,0.02,0.02,0,0,0,0
"CEUR","1_nSPC","Global",0,1.9,0.78,0.78,0.01,0.01,0.01,0.01
"CEUR","2_BLT","Global",0,1.9,0.83,0.83,0.03,0.02,0.03,0.01
"CEVR","1_nSPC","Global",0,1.9,0,0,0,0,0,0
"CHAC","1_nSPC","Global",0,1.9,0.47,0.47,0.35,0.35,0.17,0.17
"CHAC","2_BLT","Global",0,1.9,0.63,0.63,0.6,0.32,0.38,0.2
