"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CHXA","1_nSPC","Global",2.33,3.39,0.33,0.33,0.07,0.07,0.02,0.02
"CHXA","2_BLT","Global",2.33,3.39,0,0.01,0.05,0.01,0,0
"CIEX","1_nSPC","Global",2.33,3.39,0.02,0.02,0.05,0.05,0,0
"CIFA","1_nSPC","Global",2.33,3.39,0,0,0.01,0.01,0,0
"CIFL","1_nSPC","Global",2.33,3.39,0.08,0.08,0.01,0.01,0,0
"CIKA","1_nSPC","Global",2.33,3.39,0.1,0.1,0.06,0.06,0.01,0.01
"CILB","1_nSPC","Global",2.33,3.39,0.14,0.14,0.18,0.18,0.03,0.03
"CIPI","1_nSPC","Global",2.33,3.39,0.05,0.05,0.15,0.15,0.01,0.01
"CIPI","2_BLT","Global",2.33,3.39,0,0.01,0.25,0.07,0,0
"CIPO","1_nSPC","Global",2.33,3.39,0.03,0.03,0.01,0.01,0,0
"CIPU","1_nSPC","Global",2.33,3.39,0.01,0.01,0.04,0.04,0,0
"CISP","1_nSPC","Global",2.33,3.39,0.07,0.07,0.06,0.06,0,0
"CISR","1_nSPC","Global",2.33,3.39,0,0,0.1,0.1,0,0
"CIST","1_nSPC","Global",2.33,3.39,0,0,0.06,0.06,0,0
"CITE","1_nSPC","Global",2.33,3.39,0,0,0.09,0.09,0,0
"CIVA","1_nSPC","Global",2.33,3.39,0,0,0.01,0.01,0,0
"CIVR","1_nSPC","Global",2.33,3.39,0.18,0.18,0.02,0.02,0,0
"COAY","1_nSPC","Global",2.33,3.39,0.18,0.18,0.67,0.67,0.12,0.12
"COAY","2_BLT","Global",2.33,3.39,0.04,0.29,1.1,0.33,0.04,0.09
"COFF","1_nSPC","Global",2.33,3.39,0,0,0.03,0.03,0,0
"COGA","1_nSPC","Global",2.33,3.39,0.21,0.21,0.16,0.16,0.03,0.03
"COGA","2_BLT","Global",2.33,3.39,0.03,0.24,0.15,0.04,0,0.01
"CTBI","1_nSPC","Global",2.33,3.39,0.1,0.1,0.1,0.1,0.01,0.01
"CTCY","1_nSPC","Global",2.33,3.39,0.5,0.5,0.52,0.52,0.26,0.26
"CTCY","2_BLT","Global",2.33,3.39,0,0.01,0.18,0.05,0,0
"CTFL","1_nSPC","Global",2.33,3.39,0.21,0.21,0.05,0.05,0.01,0.01
"CTFL","2_BLT","Global",2.33,3.39,0,0.01,0.18,0.05,0,0
"CTHA","1_nSPC","Global",2.33,3.39,0.11,0.11,0.21,0.21,0.02,0.02
"CTHA","2_BLT","Global",2.33,3.39,0.01,0.08,0.17,0.05,0,0
"CTSP","1_nSPC","Global",2.33,3.39,0,0,0.05,0.05,0,0
"CTSR","1_nSPC","Global",2.33,3.39,0.72,0.72,2.13,2.13,1.52,1.52
"CTSR","2_BLT","Global",2.33,3.39,0.08,0.46,0.95,0.28,0.07,0.13
"CYPR","1_nSPC","Global",2.33,3.39,0,0,0.13,0.13,0,0
"DAAR","1_nSPC","Global",2.33,3.39,0.19,0.19,0.23,0.23,0.04,0.04
"DAAU","1_nSPC","Global",2.33,3.39,0.1,0.1,0.07,0.07,0.01,0.01
"DAMS","1_nSPC","Global",2.33,3.39,0.03,0.03,0.1,0.1,0,0
"DARE","1_nSPC","Global",2.33,3.39,0.15,0.15,0.04,0.04,0.01,0.01
"DART","1_nSPC","Global",2.33,3.39,0,0,0.03,0.03,0,0
"DASY","2_BLT","Global",2.33,3.39,0,0,1.5,0.44,0,0
"DATR","1_nSPC","Global",2.33,3.39,0.06,0.06,0.05,0.05,0,0
"DEMA","1_nSPC","Global",2.33,3.39,0.05,0.05,3.86,3.86,0.19,0.19
"DIHY","1_nSPC","Global",2.33,3.39,0.01,0.01,1.83,1.83,0.02,0.02
"DIHY","2_BLT","Global",2.33,3.39,0,0.04,0.43,0.13,0,0
"DOTT","1_nSPC","Global",2.33,3.39,0,0,0,0,0,0
"ECBC","1_nSPC","Global",2.33,3.39,0.05,0.05,0.01,0.01,0,0
"ECNA","1_nSPC","Global",2.33,3.39,0.02,0.02,0.23,0.23,0,0
"ECNA","2_BLT","Global",2.33,3.39,0,0,0.05,0.01,0,0
"ECOP","1_nSPC","Global",2.33,3.39,0.01,0.01,0.05,0.05,0,0
"ELBI","1_nSPC","Global",2.33,3.39,0.05,0.05,8.35,8.35,0.42,0.42
"ELBI","2_BLT","Global",2.33,3.39,0,0.04,13.35,3.94,0.05,0.15
"EMPE","1_nSPC","Global",2.33,3.39,0,0,0.32,0.32,0,0
"EMPE","2_BLT","Global",2.33,3.39,0,0,0.1,0.03,0,0
"EPFA","1_nSPC","Global",2.33,3.39,0.03,0.03,0.22,0.22,0.01,0.01
"EPFA","2_BLT","Global",2.33,3.39,0,0.02,0.68,0.2,0,0
"EPHE","1_nSPC","Global",2.33,3.39,0.03,0.03,0.23,0.23,0.01,0.01
"EPHE","2_BLT","Global",2.33,3.39,0,0.02,0.14,0.04,0,0
"EPHO","1_nSPC","Global",2.33,3.39,0,0,0.39,0.39,0,0
"EPHO","2_BLT","Global",2.33,3.39,0,0.02,1.49,0.44,0,0.01
"EPIN","1_nSPC","Global",2.33,3.39,0.13,0.13,0.33,0.33,0.04,0.04
"EPIN","2_BLT","Global",2.33,3.39,0.02,0.17,0.46,0.14,0.01,0.02
"EPLA","1_nSPC","Global",2.33,3.39,0,0,339.18,339.18,0.39,0.39
"EPMA","1_nSPC","Global",2.33,3.39,0,0,0.58,0.58,0,0
"EPMA","2_BLT","Global",2.33,3.39,0,0,0.16,0.05,0,0
"EPMC","1_nSPC","Global",2.33,3.39,0.01,0.01,0.34,0.34,0,0
"EPME","1_nSPC","Global",2.33,3.39,0.08,0.08,0.18,0.18,0.01,0.01
"EPME","2_BLT","Global",2.33,3.39,0.03,0.23,0.33,0.1,0.01,0.02
"EPML","1_nSPC","Global",2.33,3.39,0.02,0.02,0.33,0.33,0.01,0.01
"EPML","2_BLT","Global",2.33,3.39,0.02,0.2,0.55,0.16,0.01,0.03
"EPPO","1_nSPC","Global",2.33,3.39,0,0,3.75,3.75,0.01,0.01
"EPSL","1_nSPC","Global",2.33,3.39,0.02,0.02,0.41,0.41,0.01,0.01
"EPSL","2_BLT","Global",2.33,3.39,0,0.01,0.23,0.07,0,0
"EPSO","1_nSPC","Global",2.33,3.39,0,0,0.63,0.63,0,0
"EPSP","1_nSPC","Global",2.33,3.39,0.08,0.08,0.34,0.34,0.03,0.03
"EPSP","2_BLT","Global",2.33,3.39,0,0.04,0.38,0.11,0,0
"EPTA","1_nSPC","Global",2.33,3.39,0.05,0.05,0.82,0.82,0.04,0.04
"EPTA","2_BLT","Global",2.33,3.39,0,0.01,3.2,0.94,0,0.01
"EXBR","1_nSPC","Global",2.33,3.39,0.01,0.01,0.02,0.02,0,0
"FICO","1_nSPC","Global",2.33,3.39,0.01,0.01,0.94,0.94,0.01,0.01
"FICO","2_BLT","Global",2.33,3.39,0,0,0.01,0,0,0
"FISH","1_nSPC","Global",2.33,3.39,0.01,0.01,0.03,0.03,0,0
"FOFL","1_nSPC","Global",2.33,3.39,0.2,0.2,0.07,0.07,0.01,0.01
"FOLO","1_nSPC","Global",2.33,3.39,0.14,0.14,0.08,0.08,0.01,0.01
"FUSI","2_BLT","Global",2.33,3.39,0,0.01,0.66,0.19,0,0
"GNAU","1_nSPC","Global",2.33,3.39,0.1,0.1,2.43,2.43,0.25,0.25
"GNAU","2_BLT","Global",2.33,3.39,0.02,0.17,4.2,1.24,0.08,0.21
"GNSP","1_nSPC","Global",2.33,3.39,0,0,10.58,10.58,0.02,0.02
"GOAT","1_nSPC","Global",2.33,3.39,0,0,0.33,0.33,0,0
"GOAT","2_BLT","Global",2.33,3.39,0,0.03,0.29,0.08,0,0
"GOBI","1_nSPC","Global",2.33,3.39,0.02,0.02,0.05,0.05,0,0
"GOVA","1_nSPC","Global",2.33,3.39,0.63,0.63,0.08,0.08,0.05,0.05
"GOVA","2_BLT","Global",2.33,3.39,0.02,0.18,0.13,0.04,0,0.01
"GRAL","1_nSPC","Global",2.33,3.39,0.15,0.15,1.05,1.05,0.15,0.15
"GRAL","2_BLT","Global",2.33,3.39,0.05,0.33,0.78,0.23,0.04,0.08
"GROU","1_nSPC","Global",2.33,3.39,0,0,1.88,1.88,0,0
"GROU","2_BLT","Global",2.33,3.39,0,0.01,0.13,0.04,0,0
"GRSE","1_nSPC","Global",2.33,3.39,0,0,0.06,0.06,0,0
"GYFL","1_nSPC","Global",2.33,3.39,0,0,0.85,0.85,0,0
"GYFL","2_BLT","Global",2.33,3.39,0,0,0.13,0.04,0,0
