"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"EPHE","1432","1161","271","50","43","7"
"EPHO","1432","1161","271","7","3","4"
"EPIN","1432","1161","271","334","295","39"
"EPMA","1432","1161","271","4","3","1"
"EPME","1432","1161","271","38","27","11"
"EPML","1432","1161","271","39","24","15"
"EPSL","1432","1161","271","19","17","2"
"EPSP","1432","1161","271","44","34","10"
"EPTA","1432","1161","271","11","9","2"
"EXBR","1432","1161","271","29","26","3"
"FICO","1432","1161","271","11","10","1"
"FISH","1432","1161","271","26","8","18"
"FOFL","1432","1161","271","354","312","42"
"FOLO","1432","1161","271","226","196","30"
"GNAU","1432","1161","271","179","154","25"
"GOAT","1432","1161","271","15","6","9"
"GOBI","1432","1161","271","67","37","30"
"GOVA","1432","1161","271","1044","851","193"
"GRAL","1432","1161","271","194","158","36"
"GROU","1432","1161","271","4","2","2"
"GRSE","1432","1161","271","9","7","2"
"GYFL","1432","1161","271","4","3","1"
"GYJA","1432","1161","271","13","10","3"
"GYME","1432","1161","271","18","15","3"
"GYUC","1432","1161","271","47","43","4"
"GYUN","1432","1161","271","5","2","3"
"HABI","1432","1161","271","135","126","9"
"HAHO","1432","1161","271","1014","861","153"
"HAMA","1432","1161","271","178","163","15"
"HAME","1432","1161","271","44","36","8"
"HAML","1432","1161","271","13","9","4"
"HAMT","1432","1161","271","215","171","44"
"HAOR","1432","1161","271","478","388","90"
"HAPR","1432","1161","271","31","26","5"
"HATR","1432","1161","271","43","32","11"
"HEAC","1432","1161","271","4","3","1"
"HECA","1432","1161","271","3","2","1"
"HECH","1432","1161","271","143","127","16"
"HEFA","1432","1161","271","480","441","39"
"HEME","1432","1161","271","93","88","5"
"HEMO","1432","1161","271","93","88","5"
"HEPO","1432","1161","271","54","48","6"
"HETH","1432","1161","271","131","113","18"
"HEVA","1432","1161","271","125","111","14"
"HODO","1432","1161","271","63","58","5"
"ISSP","1432","1161","271","3","2","1"
"KYCI","1432","1161","271","26","23","3"
"LABI","1432","1161","271","431","359","72"
"LADI","1432","1161","271","893","673","220"
"LARU","1432","1161","271","701","592","109"
"LAUN","1432","1161","271","129","120","9"
"LAXA","1432","1161","271","546","465","81"
"LEOL","1432","1161","271","25","23","2"
"LERU","1432","1161","271","13","12","1"
"LETA","1432","1161","271","44","30","14"
"LETH","1432","1161","271","46","42","4"
"LIZA","1432","1161","271","80","74","6"
"LUBO","1432","1161","271","620","534","86"
"LUFU","1432","1161","271","139","120","19"
"LUGI","1432","1161","271","107","88","19"
"LUKA","1432","1161","271","225","170","55"
"LUMO","1432","1161","271","186","164","22"
"LUWH","1432","1161","271","5","3","2"
"MABR","1432","1161","271","54","50","4"
"MALA","1432","1161","271","77","70","7"
"MAMA","1432","1161","271","194","171","23"
"MAME","1432","1161","271","467","415","52"
"MANI","1432","1161","271","316","300","16"
"MEAT","1432","1161","271","84","60","24"
"MENI","1432","1161","271","395","337","58"
"MEVI","1432","1161","271","1232","1035","197"
"MOGR","1432","1161","271","555","478","77"
"MORA","1432","1161","271","3","1","2"
"MUFL","1432","1161","271","25","22","3"
"MUVA","1432","1161","271","136","126","10"
"MYAD","1432","1161","271","16","13","3"
"MYAM","1432","1161","271","19","18","1"
"MYBE","1432","1161","271","227","177","50"
"MYKU","1432","1161","271","116","96","20"
"MYMU","1432","1161","271","11","10","1"
"MYSP","1432","1161","271","35","29","6"
"NAAN","1432","1161","271","8","6","2"
"NABH","1432","1161","271","17","16","1"
"NABR","1432","1161","271","156","131","25"
"NAHE","1432","1161","271","178","152","26"
