"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"PAIN","2_BLT","Global",2.33,3.06,0.01,0.13,0.49,0.16,0.01,0.02
"PAMU","1_nSPC","Global",2.33,3.06,0.88,0.88,0.46,0.46,0.41,0.41
"PAMU","2_BLT","Global",2.33,3.06,0.1,0.53,0.3,0.1,0.03,0.05
"PAPL","1_nSPC","Global",2.33,3.06,0.4,0.4,0.24,0.24,0.1,0.1
"PAPL","2_BLT","Global",2.33,3.06,0.04,0.31,0.25,0.08,0.01,0.02
"PAPO","1_nSPC","Global",2.33,3.06,0.04,0.04,1.08,1.08,0.04,0.04
"PAPO","2_BLT","Global",2.33,3.06,0.02,0.18,0.87,0.28,0.02,0.05
"PARR","1_nSPC","Global",2.33,3.06,0.24,0.24,0.34,0.34,0.08,0.08
"PARR","2_BLT","Global",2.33,3.06,0,0.01,0.39,0.13,0,0
"PASC","1_nSPC","Global",2.33,3.06,0.07,0.07,0.04,0.04,0,0
"PEAS","1_nSPC","Global",2.33,3.06,0.03,0.03,0.04,0.04,0,0
"PESP","1_nSPC","Global",2.33,3.06,0.24,0.24,0.05,0.05,0.01,0.01
"PLAR","1_nSPC","Global",2.33,3.06,0.04,0.04,0.6,0.6,0.03,0.03
"PLAR","2_BLT","Global",2.33,3.06,0,0.02,0.15,0.05,0,0
"PLEW","1_nSPC","Global",2.33,3.06,0.11,0.11,0.01,0.01,0,0
"PLGO","1_nSPC","Global",2.33,3.06,0.12,0.12,0.01,0.01,0,0
"PLIM","1_nSPC","Global",2.33,3.06,0.22,0.22,0.04,0.04,0.01,0.01
"PLJO","1_nSPC","Global",2.33,3.06,0.51,0.51,0.07,0.07,0.03,0.03
"POSE","1_nSPC","Global",2.33,3.06,0,0,13.15,13.15,0.03,0.03
"PRKA","1_nSPC","Global",2.33,3.06,0.02,0.02,0.08,0.08,0,0
"PRME","1_nSPC","Global",2.33,3.06,0.01,0.01,0.43,0.43,0.01,0.01
"PRME","2_BLT","Global",2.33,3.06,0.02,0.19,0.7,0.23,0.02,0.04
"PROL","1_nSPC","Global",2.33,3.06,0,0,1.25,1.25,0,0
"PSBI","1_nSPC","Global",2.33,3.06,0,0,0.05,0.05,0,0
"PSCE","1_nSPC","Global",2.33,3.06,0.13,0.13,0.04,0.04,0.01,0.01
"PSDE","1_nSPC","Global",2.33,3.06,0,0,25.51,25.51,0.08,0.08
"PSDE","2_BLT","Global",2.33,3.06,0,0.05,6.81,2.22,0.03,0.1
"PSEV","1_nSPC","Global",2.33,3.06,0.12,0.12,0.02,0.02,0,0
"PSHW","1_nSPC","Global",2.33,3.06,0,0,0.04,0.04,0,0
"PSMA","1_nSPC","Global",2.33,3.06,0,0,0.01,0.01,0,0
"PSOC","1_nSPC","Global",2.33,3.06,0.16,0.16,0.05,0.05,0.01,0.01
"PSSP","1_nSPC","Global",2.33,3.06,0,0,0.01,0.01,0,0
"PSTE","1_nSPC","Global",2.33,3.06,0.09,0.09,0.02,0.02,0,0
"PSTH","1_nSPC","Global",2.33,3.06,0.02,0.02,0.9,0.9,0.02,0.02
"PTHE","1_nSPC","Global",2.33,3.06,0.05,0.05,0.04,0.04,0,0
"PTSP","1_nSPC","Global",2.33,3.06,0.03,0.03,0.08,0.08,0,0
"RHAC","1_nSPC","Global",2.33,3.06,0.02,0.02,0.11,0.11,0,0
"RHRE","1_nSPC","Global",2.33,3.06,0.17,0.17,0.46,0.46,0.08,0.08
"RHRE","2_BLT","Global",2.33,3.06,0.01,0.13,0.6,0.2,0.01,0.02
"SADI","1_nSPC","Global",2.33,3.06,0.06,0.06,0.2,0.2,0.01,0.01
"SAEN","1_nSPC","Global",2.33,3.06,0,0,0.61,0.61,0,0
"SAGR","1_nSPC","Global",2.33,3.06,0,0,0.06,0.06,0,0
"SAPP","1_nSPC","Global",2.33,3.06,0.05,0.05,0.2,0.2,0.01,0.01
"SASP","1_nSPC","Global",2.33,3.06,0.06,0.06,1.23,1.23,0.08,0.08
"SASP","2_BLT","Global",2.33,3.06,0.03,0.24,2.85,0.93,0.08,0.22
"SATI","1_nSPC","Global",2.33,3.06,0.01,0.01,1.2,1.2,0.01,0.01
"SATI","2_BLT","Global",2.33,3.06,0,0,0.27,0.09,0,0
"SAXA","1_nSPC","Global",2.33,3.06,0.04,0.04,0.44,0.44,0.02,0.02
"SCCA","1_nSPC","Global",2.33,3.06,0,0,1.18,1.18,0,0
"SCDI","1_nSPC","Global",2.33,3.06,0,0,0.1,0.1,0,0
"SCDU","1_nSPC","Global",2.33,3.06,0.44,0.44,1.67,1.67,0.73,0.73
"SCDU","2_BLT","Global",2.33,3.06,0.13,0.61,1.19,0.39,0.16,0.24
"SCLY","1_nSPC","Global",2.33,3.06,0.01,0.01,2.1,2.1,0.01,0.01
"SCLY","2_BLT","Global",2.33,3.06,0,0,0.95,0.31,0,0
"SCPA","1_nSPC","Global",2.33,3.06,0,0,0.02,0.02,0,0
"SCPP","1_nSPC","Global",2.33,3.06,0,0,0.02,0.02,0,0
"SCPS","1_nSPC","Global",2.33,3.06,0.21,0.21,0.88,0.88,0.18,0.18
"SCPS","2_BLT","Global",2.33,3.06,0.04,0.3,0.94,0.31,0.04,0.09
"SCRU","1_nSPC","Global",2.33,3.06,0.12,0.12,2.79,2.79,0.32,0.32
