"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"ABSO","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"ABSP","1_nSPC","Global",2.33,0.36,0.01,0.01,0,0,0,0
"ABSX","1_nSPC","Global",2.33,0.36,0.01,0.01,0.01,0.01,0,0
"ABVA","1_nSPC","Global",2.33,0.36,0.04,0.04,0.01,0.01,0,0
"ACAC","1_nSPC","Global",2.33,0.36,0.34,0.34,0.01,0.01,0,0
"ACAC","2_BLT","Global",2.33,0.36,0.01,0.1,0,0.01,0,0
"ACAL","1_nSPC","Global",2.33,0.36,0.07,0.07,0,0,0,0
"ACAL","2_BLT","Global",2.33,0.36,0,0.01,0,0,0,0
"ACAN","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"ACBL","1_nSPC","Global",2.33,0.36,0.18,0.18,0,0,0,0
"ACBL","2_BLT","Global",2.33,0.36,0.02,0.16,0,0.01,0,0
"ACDU","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"ACGU","1_nSPC","Global",2.33,0.36,0.08,0.08,0.01,0.01,0,0
"ACGU","2_BLT","Global",2.33,0.36,0,0,0,0,0,0
"ACLI","1_nSPC","Global",2.33,0.36,0.25,0.25,0.01,0.01,0,0
"ACLI","2_BLT","Global",2.33,0.36,0.06,0.41,0,0.01,0,0.01
"ACLU","1_nSPC","Global",2.33,0.36,0.02,0.02,0,0,0,0
"ACLU","2_BLT","Global",2.33,0.36,0.01,0.12,0,0.01,0,0
"ACMA","1_nSPC","Global",2.33,0.36,0.08,0.08,0,0,0,0
"ACMA","2_BLT","Global",2.33,0.36,0.06,0.4,0,0.01,0,0
"ACMT","1_nSPC","Global",2.33,0.36,0.02,0.02,0,0,0,0
"ACMT","2_BLT","Global",2.33,0.36,0.01,0.06,0,0,0,0
"ACNC","1_nSPC","Global",2.33,0.36,0.57,0.57,0.02,0.02,0.01,0.01
"ACNC","2_BLT","Global",2.33,0.36,0.01,0.12,0,0.01,0,0
"ACNF","1_nSPC","Global",2.33,0.36,0.64,0.64,0.02,0.02,0.01,0.01
"ACNF","2_BLT","Global",2.33,0.36,0,0.04,0,0,0,0
"ACNI","1_nSPC","Global",2.33,0.36,0.05,0.05,0,0,0,0
"ACNI","2_BLT","Global",2.33,0.36,0.02,0.16,0,0,0,0
"ACNR","1_nSPC","Global",2.33,0.36,0.3,0.3,0.01,0.01,0,0
"ACNR","2_BLT","Global",2.33,0.36,0,0.03,0,0.01,0,0
"ACOL","1_nSPC","Global",2.33,0.36,0.26,0.26,0,0,0,0
"ACOL","2_BLT","Global",2.33,0.36,0.02,0.21,0,0.01,0,0
"ACPY","1_nSPC","Global",2.33,0.36,0.19,0.19,0,0,0,0
"ACPY","2_BLT","Global",2.33,0.36,0.01,0.05,0,0.01,0,0
"ACSP","1_nSPC","Global",2.33,0.36,0.13,0.13,0.01,0.01,0,0
"ACTH","1_nSPC","Global",2.33,0.36,0.27,0.27,0.02,0.02,0,0
"ACTH","2_BLT","Global",2.33,0.36,0,0.02,0,0,0,0
"ACTR","1_nSPC","Global",2.33,0.36,0.11,0.11,0.04,0.04,0,0
"ACXA","1_nSPC","Global",2.33,0.36,0.03,0.03,0,0,0,0
"ACXA","2_BLT","Global",2.33,0.36,0,0.05,0,0.01,0,0
"AEOC","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"AERO","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"ALCI","1_nSPC","Global",2.33,0.36,0,0,0.01,0.01,0,0
"ALSC","1_nSPC","Global",2.33,0.36,0.01,0.01,0,0,0,0
"ALSC","2_BLT","Global",2.33,0.36,0,0.01,0,0.01,0,0
"AMBI","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"AMCH","1_nSPC","Global",2.33,0.36,0.09,0.09,0,0,0,0
"AMCL","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"AMCU","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"AMME","1_nSPC","Global",2.33,0.36,0,0,0.02,0.02,0,0
"AMPE","1_nSPC","Global",2.33,0.36,0,0,0.01,0.01,0,0
"AMPH","1_nSPC","Global",2.33,0.36,0.01,0.01,0.01,0.01,0,0
"AMSC","1_nSPC","Global",2.33,0.36,0.04,0.04,0,0,0,0
"AMSC","2_BLT","Global",2.33,0.36,0,0,0,0,0,0
"ANCA","1_nSPC","Global",2.33,0.36,0.06,0.06,0,0,0,0
"ANCA","2_BLT","Global",2.33,0.36,0,0,0,0,0,0
"ANLE","1_nSPC","Global",2.33,0.36,0.01,0.01,0,0,0,0
"ANME","1_nSPC","Global",2.33,0.36,0.04,0.04,0,0,0,0
"ANMG","1_nSPC","Global",2.33,0.36,0.02,0.02,0,0,0,0
"ANMG","2_BLT","Global",2.33,0.36,0,0.01,0,0,0,0
"ANSP","1_nSPC","Global",2.33,0.36,0,0,0,0,0,0
"ANTH","1_nSPC","Global",2.33,0.36,0,0,0.03,0.03,0,0
"ANTW","1_nSPC","Global",2.33,0.36,0.19,0.19,0,0,0,0
"APFU","1_nSPC","Global",2.33,0.36,0.44,0.44,0,0,0,0
"APFU","2_BLT","Global",2.33,0.36,0.15,0.64,0,0.01,0,0
"APSP","1_nSPC","Global",2.33,0.36,0.08,0.08,0.01,0.01,0,0
"APTR","1_nSPC","Global",2.33,0.36,0.04,0.04,0,0,0,0
"APTR","2_BLT","Global",2.33,0.36,0,0,0,0,0,0
"APVI","1_nSPC","Global",2.33,0.36,0.08,0.08,0,0,0,0
