"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",3.75,17.07,0.09,0.09,0.52,0.52,0.05,0.05
"ABSO","1_nSPC","Global",3.75,17.07,0.09,0.09,0.24,0.24,0.02,0.02
"ABVA","1_nSPC","Global",3.75,17.07,0.09,0.09,0.34,0.34,0.03,0.03
"ACAC","1_nSPC","Global",3.75,17.07,0.08,0.08,0.5,0.5,0.04,0.04
"ACAN","1_nSPC","Global",3.75,17.07,0,0,0.1,0.1,0,0
"ACBL","1_nSPC","Global",3.75,17.07,0.32,0.32,1.58,1.58,0.51,0.51
"ACDU","1_nSPC","Global",3.75,17.07,0.34,0.34,2.2,2.2,0.75,0.75
"ACDU","2_TOW","Global",3.75,17.07,0,0.01,1.31,0.08,0,0
"ACGU","1_nSPC","Global",3.75,17.07,0.03,0.03,0.06,0.06,0,0
"ACLE","1_nSPC","Global",3.75,17.07,0.42,0.42,0.15,0.15,0.06,0.06
"ACNC","1_nSPC","Global",3.75,17.07,0.04,0.04,0.21,0.21,0.01,0.01
"ACNF","1_nSPC","Global",3.75,17.07,0.89,0.89,0.83,0.83,0.74,0.74
"ACNR","1_nSPC","Global",3.75,17.07,0.19,0.19,0.25,0.25,0.05,0.05
"ACOL","1_nSPC","Global",3.75,17.07,0.62,0.62,2.23,2.23,1.39,1.39
"ACSP","1_nSPC","Global",3.75,17.07,0.03,0.03,0.07,0.07,0,0
"ACSP","2_TOW","Global",3.75,17.07,0,0.02,2.44,0.14,0,0
"ACTH","1_nSPC","Global",3.75,17.07,0.15,0.15,0.75,0.75,0.11,0.11
"ACTR","1_nSPC","Global",3.75,17.07,0.31,0.31,0.61,0.61,0.19,0.19
"ACXA","1_nSPC","Global",3.75,17.07,0.07,0.07,2.76,2.76,0.19,0.19
"ACXA","2_TOW","Global",3.75,17.07,0,0.01,2.13,0.12,0,0
"AEOC","1_nSPC","Global",3.75,17.07,0.01,0.01,12.34,12.34,0.15,0.15
"AEOC","2_TOW","Global",3.75,17.07,0.01,0.36,8.08,0.47,0.11,0.17
"ALCI","1_nSPC","Global",3.75,17.07,0,0,19.6,19.6,0.04,0.04
"ALCI","2_TOW","Global",3.75,17.07,0,0,6.29,0.37,0,0
"ALSC","1_nSPC","Global",3.75,17.07,0,0,0.38,0.38,0,0
"ALSC","2_TOW","Global",3.75,17.07,0,0.02,0.31,0.02,0,0
