"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","Global",2.67,9.73,0,0,0.07,0.07,0,0
"ABNO","1_nSPC","Global",2.67,9.73,0,0,1.51,1.51,0,0
"ABSO","1_nSPC","Global",2.67,9.73,0.03,0.03,0.18,0.18,0.01,0.01
"ABSP","1_nSPC","Global",2.67,9.73,0.01,0.01,0.42,0.42,0,0
"ABVA","1_nSPC","Global",2.67,9.73,0.03,0.03,0.26,0.26,0.01,0.01
"ACAC","1_nSPC","Global",2.67,9.73,0.23,0.23,0.62,0.62,0.14,0.14
"ACAL","1_nSPC","Global",2.67,9.73,0,0,3.05,3.05,0.01,0.01
"ACAN","1_nSPC","Global",2.67,9.73,0.01,0.01,0.21,0.21,0,0
"ACBL","1_nSPC","Global",2.67,9.73,0.11,0.11,1.39,1.39,0.15,0.15
"ACDU","1_nSPC","Global",2.67,9.73,0.01,0.01,0.76,0.76,0.01,0.01
"ACGU","1_nSPC","Global",2.67,9.73,0.01,0.01,0.09,0.09,0,0
"ACLE","1_nSPC","Global",2.67,9.73,0,0,0.03,0.03,0,0
"ACLI","1_nSPC","Global",2.67,9.73,0.11,0.11,1.64,1.64,0.18,0.18
"ACLU","1_nSPC","Global",2.67,9.73,0.12,0.12,0.54,0.54,0.07,0.07
"ACMA","1_nSPC","Global",2.67,9.73,0.08,0.08,0.44,0.44,0.03,0.03
"ACMT","1_nSPC","Global",2.67,9.73,0.07,0.07,2.37,2.37,0.16,0.16
"ACMT","2_TOW","Global",2.67,9.73,0,0.01,1.17,0.12,0,0
"ACNC","1_nSPC","Global",2.67,9.73,0.65,0.65,1.47,1.47,0.95,0.95
"ACNF","1_nSPC","Global",2.67,9.73,0.16,0.16,0.23,0.23,0.04,0.04
"ACNI","1_nSPC","Global",2.67,9.73,0.04,0.04,0.59,0.59,0.02,0.02
"ACNR","1_nSPC","Global",2.67,9.73,0.37,0.37,0.88,0.88,0.33,0.33
"ACNU","1_nSPC","Global",2.67,9.73,0,0,0.27,0.27,0,0
"ACOL","1_nSPC","Global",2.67,9.73,0.34,0.34,1.19,1.19,0.4,0.4
"ACPY","1_nSPC","Global",2.67,9.73,0.04,0.04,0.14,0.14,0.01,0.01
"ACSO","1_nSPC","Global",2.67,9.73,0,0,22.18,22.18,0.01,0.01
"ACSO","2_TOW","Global",2.67,9.73,0,0.02,7.77,0.8,0.01,0.01
"ACSP","1_nSPC","Global",2.67,9.73,0.02,0.02,0.31,0.31,0.01,0.01
"ACTH","1_nSPC","Global",2.67,9.73,0.22,0.22,0.41,0.41,0.09,0.09
"ACTR","1_nSPC","Global",2.67,9.73,0.24,0.24,3.01,3.01,0.71,0.71
"ACXA","1_nSPC","Global",2.67,9.73,0.07,0.07,3.09,3.09,0.22,0.22
"ACXA","2_TOW","Global",2.67,9.73,0,0.02,2.42,0.25,0,0.01
"AEOC","1_nSPC","Global",2.67,9.73,0.02,0.02,26.61,26.61,0.61,0.61
"AEOC","2_TOW","Global",2.67,9.73,0.02,0.23,27.15,2.79,0.56,0.65
"AERO","1_nSPC","Global",2.67,9.73,0.05,0.05,0.66,0.66,0.03,0.03
"ALCI","2_TOW","Global",2.67,9.73,0,0,3.7,0.38,0,0
"ALSC","1_nSPC","Global",2.67,9.73,0.09,0.09,0.44,0.44,0.04,0.04
"ALSC","2_TOW","Global",2.67,9.73,0.01,0.15,0.27,0.03,0,0
"AMCH","1_nSPC","Global",2.67,9.73,0.01,0.01,0.05,0.05,0,0
"AMPE","1_nSPC","Global",2.67,9.73,0,0,0.03,0.03,0,0
"AMSC","1_nSPC","Global",2.67,9.73,0.03,0.03,0.1,0.1,0,0
"ANCA","1_nSPC","Global",2.67,9.73,0.13,0.13,0.15,0.15,0.02,0.02
"ANCU","1_nSPC","Global",2.67,9.73,0,0,0.12,0.12,0,0
"ANME","1_nSPC","Global",2.67,9.73,0.01,0.01,0.03,0.03,0,0
"ANMG","1_nSPC","Global",2.67,9.73,0.04,0.04,0.08,0.08,0,0
"ANSP","1_nSPC","Global",2.67,9.73,0,0,0.06,0.06,0,0
"ANTH","1_nSPC","Global",2.67,9.73,0,0,0.36,0.36,0,0
"ANTW","1_nSPC","Global",2.67,9.73,0.19,0.19,0.06,0.06,0.01,0.01
"APFU","1_nSPC","Global",2.67,9.73,0.54,0.54,1.37,1.37,0.74,0.74
"APFU","2_TOW","Global",2.67,9.73,0,0.01,0.62,0.06,0,0
"APGR","1_nSPC","Global",2.67,9.73,0.04,0.04,0.26,0.26,0.01,0.01
"APSP","1_nSPC","Global",2.67,9.73,0,0,0.33,0.33,0,0
"APVI","1_nSPC","Global",2.67,9.73,0.1,0.1,5.69,5.69,0.58,0.58
"APVI","2_TOW","Global",2.67,9.73,0.02,0.26,1.91,0.2,0.05,0.05
"APXA","1_nSPC","Global",2.67,9.73,0.17,0.17,0.22,0.22,0.04,0.04
"ARHI","1_nSPC","Global",2.67,9.73,0.02,0.02,0.8,0.8,0.01,0.01
"ARMA","2_TOW","Global",2.67,9.73,0,0,2.4,0.25,0,0
